,"Cash Flows from/Used in Operating Activities, Direct","Net Cash Flow from Continuing Operating Activities, Direct","Cash Receipts from Operating Activities, Direct","Receipts from Customers, Direct","Receipts from Tax Refunds, Direct","Other Cash Receipts from Operating Activities, Direct","Cash Payments from Operating Activities, Direct","Payments to Suppliers for Goods and Services, Direct","Payments to Employees, Direct","Taxes Paid, Direct","Other Cash Payments from Operating Activities, Direct","Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Unrealized Gain/Loss on Financial Assets/Liabilities, Non-Cash Adjustment","Gain/Loss for Other Investment, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment",Other Non-Cash Items,Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Deferred Assets/Liabilities,Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Business, Net",Purchase/Acquisition of Business,"Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Other Investing Cash Flow,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Repayments for Long Term Debt,Proceeds from Issuance of Long Term Debt,Cash Dividends and Interest Paid,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
  Interest Expense,0.040887610651443994,0.050878643205910505,0.028402738004176104,0.05813760372531015,0.02891492526803965,0.035233980058131886,0.03634182896411919,0.027126059044049102,0.037090952550734343,0.0653791008950826,0.05742452353646282,0.03812237246752492,0.04506613799279461,0.03338050491089314,0.09057652063161895,0.03282773726026605,0.020219669132112362,0.025711020788187145,0.04132187692434092,0.10916421869564664,0.19575952984924574,0.07299458116692967,0.03426140384881137,0.10792109874341643,0.09099855316230555,0.07046789982452857,0.04088325277186936,0.012421603621852385,0.04890681959717591,0.048109603821560265,0.061770722766974616,0.09005093445977883,0.05152956894552341,0.05298619669904617,0.11921417080729987,0.030840472775642464,0.0447006946579657,0.018281875460097827,0.048770792448037475,-2.937960303027714e-05,0.0036876131378078434,0.045393925443771715,0.06319570018346546,0.030393634661674815,0.0717939733593638,0.06657467517259986,0.029973701727665402,0.11382415893010316,0.07540550789935657,0.043399588435073376,0.049359795009856336,0.02090184648018752,0.1520296336162127,0.15328653138308412,0.12933004705695866,0.11086851090986621,0.16672121653392497,0.05108371478772011,0.05147920842801605,0.08890144484999442,0.0281299326367919,0.030535871249889053,0.02014005024014901,0.07910252284741447
Net Interest Income,0.05727721902799929,0.14056700094838867,0.060057553965301595,0.08367969876616393,0.013851849362040708,0.012769236190041703,0.032518931480004856,0.12387917522813884,0.0541148308147802,0.07828250248712103,0.014812508963337905,0.13227726511454435,0.13643497740442295,0.07623093182336135,0.15057171584093784,0.014914112069738276,-0.0007005640730442678,0.038785957551885,0.010019550225986383,0.10182757690027401,0.28740708013660904,0.20792549426351128,0.07964001132858713,0.09400861581675149,0.10490923560781733,0.11135302321519407,0.10670447695574144,0.021178816744930003,0.0628943453402816,0.05841624043116429,0.08816750137925891,0.09564029679450724,0.046848713105369595,0.04741223346360796,0.08610342634923156,0.015008509234316788,0.006194751436915948,0.00025987143824169733,0.05609990358883366,0.11945726018365582,0.061188338171310586,0.07353000840580826,0.08014752700906631,0.03286765211091548,0.05752879864059865,0.07202904163213605,0.10411181300153619,0.06067068520199818,0.11148843754773927,0.15432191523838826,0.11085569317322382,0.041802361495095336,0.12251426991219674,0.12676416926471082,0.06220079025722064,0.09229664621663014,0.17503741551890165,0.09437379927219827,0.07623726066492385,0.08500067000073418,0.022437329184686834,0.017469801410274585,0.02155075844641536,0.04896413530636086
Other Income (Expense),0.020991141777126396,-0.00328786992282685,0.019485713467368267,0.01667345475251492,0.017273034664823925,0.10332511674028388,0.16761964545353958,0.13350870085603192,-0.001232699492430647,0.000277624339737376,0.14378662683713206,0.07135984469789691,0.01584687020942188,0.06954417272364094,0.11982141895379454,0.11141199275669768,0.02560699427948132,0.027046291411215558,0.04266485588344224,0.08611980416088304,0.10612459652236686,0.12717105758580294,-0.0026477601375444436,0.12662418340567347,0.08533903596992887,0.11544715865744296,0.03749331225016217,0.009091647693294992,0.060835288938361445,0.08230535889253157,0.030300129142046526,0.057945216271172634,0.05742667072003323,0.02981946820255589,0.11590297990126383,0.10634736229135056,0.044829191819316716,0.0010948666460299326,0.13663263724739852,-0.0029419811668123467,-0.021598253667416516,0.013560238356698753,0.020293230716522302,0.01695037474429941,0.029937772087625842,0.0358854314168101,0.0557656850481431,0.16810782958649578,0.034818996994939524,0.11737823963044067,0.022804766521031843,0.02314331304042841,0.05142246182683648,0.04617409364604029,0.023880111715176094,0.022821659693952348,0.007784174620662509,0.13556426176945865,0.019904130673180094,0.03885982876364799,0.0023678423849737575,0.038715029958191254,0.06773999939202778,0.04566038653693922
Pre-Tax Income,0.014402820351095781,0.009260722475437334,0.012556738590770963,0.042114715186216914,0.10528653590011887,0.003241970320211212,0.015449309715336604,0.018389474614917876,0.03544210693608067,0.07645716656199804,0.02999008790838992,0.011295594474856223,0.009071867552318497,0.01232337316707404,0.08136483388796484,0.018684179115261934,0.012699974206755553,0.0015056443325904712,-0.003151634192239168,0.014927414637685706,0.0619936312111679,0.13061423883740217,-0.02124370068416935,0.02831695455456988,0.0918555959297992,0.0007935896426921273,-0.004669038624425114,-0.01369667630620635,0.009004694042900363,0.013867677424209595,0.01484123058649825,0.025047633660355027,0.03421580685066115,0.035336453529180606,0.07770170178018466,0.008296931301998751,0.005680788764171798,-0.013016527898772862,0.024042983489861166,0.012671327820301783,0.01704842785601773,0.009919137039691026,0.01507788746423834,-0.0022935210170550993,0.045208965500860426,0.04766851660761075,-0.0013839846075596883,0.03274462890356953,0.017361361104067545,0.018326701625799083,0.04127759468944816,0.03750875241559695,0.04828911851162411,0.046362715006526195,0.019532700061579082,0.0009915882614499752,0.0886328362262471,0.02449009804661589,0.006965145875626556,0.031621373929557155,0.0012389663501088909,-0.0034604658560983474,-0.013879377814209972,0.027858677623816507
Tax Provision,0.05220150487855393,0.04987063543520862,0.06070404328129881,0.07778754969995677,0.10095801152511491,0.019214934283856996,0.06416556667794934,0.05644418618460059,0.04435345236827801,0.12902354850157421,0.060361652979372446,0.05697637403364537,0.05432848585428975,0.06497786348558249,0.04962433594033202,0.03820800114787951,0.031165032152416693,0.030118771039228883,0.03620191558549901,0.038295763889165155,-0.021771235296205164,0.027474380408706683,-0.0011181721172290476,0.04201069785349861,0.007514778228088315,0.024575842792682847,0.019040319673970844,0.016548262410984046,0.02312756056546817,0.03577421485701179,0.06864170934838583,0.05661376829175934,0.03704442434228673,0.03699308605518163,0.03256777024274269,0.023718217485857635,0.023283077810513187,-0.008705520912362565,0.040268417063297514,0.02758852831553304,0.03211662183217408,0.07291775288606511,0.07550878530577879,0.018543517560699958,0.0895914238966087,0.10522384822815974,0.022294854417125344,0.04967155698249557,0.05012745734551646,0.039466558656368805,0.06181573701901733,0.051969707480589246,0.06946922040044931,0.07027022114032423,0.052465263982503604,0.024594477968727036,0.06304187104587795,0.029549913968288467,0.07278638308729747,0.058776316252956436,0.022649795401406436,0.028644528375839,0.0047194311411849375,0.05294180409150361
Tax Rate %,-0.008521183613905756,-0.012247007607463741,0.06656536620070072,-0.014081078437737147,0.07066928269118829,0.010302670031224218,0.08924439829976051,0.061962311656741556,0.06545341334180864,0.08321847403660815,0.0023303951546425495,-0.008567458991242,-0.013730174303394063,-0.0057123802328175165,-0.019346132957059576,0.0033040674733406453,-0.016728930992690832,-0.01959990983726137,-0.009716518496550277,0.006510579838659205,0.05758183432723114,-0.009660545664969607,0.005746973085392219,-0.0123465028522934,-0.028163500475258403,-0.002081235796803308,0.0017916402309549675,-0.010951370086809619,0.040358480700197756,0.004938555539453549,0.00854233199996608,0.0033342421169984867,0.021036498402407802,0.025130222915728424,-0.005921290593681832,0.007260168137375801,0.006220505867711119,0.007468482719491734,0.035643600203559986,0.09133469117811524,0.08687584968081688,0.07876234838199389,-0.01330148502471104,-0.013117422132185353,-0.0042010739419054465,-0.011609190802515795,-0.005891800083748301,0.11489464534624728,0.00579739024532042,-0.027796776271587255,0.09390098210533614,0.08766065612124824,-0.005475992876042773,-0.010431965327313077,-0.019000224364360423,0.023397042561830218,-0.01256306974806018,0.019294836143839828,-0.013607930569204278,0.014338939253020488,0.030688688517861683,-0.013746473101075771,-0.002178028205038025,-0.004314287142352501
Net Income (Continuing Operations),0.12357154298556634,0.26480783525165935,0.13949092026515178,0.024663977463014713,0.019417021143153003,0.10469173761933914,0.15497261175778698,0.018701977537710014,0.03343177831843191,0.022938463110486387,0.13834806964740606,0.11467266430289523,0.2642885830562748,0.11664863691013638,0.12740718881933108,0.0022826296911924874,0.018803703203352014,0.025784555590509888,0.033320532609503045,0.04561181077716287,0.08879439336408441,0.12378188019588157,-0.009495294405118274,0.022851481920736726,0.10004314751279197,0.05094539208568573,0.014871806913899664,-0.0030864450155208695,0.018557360654152876,0.013589879286985723,0.08491801866842928,0.033228601188022254,0.03492949614047503,0.0415329286832977,0.01476477572453729,0.008945537831207053,0.002576832387837021,0.0012722130270057877,0.08930316597889659,0.09740579865526369,0.11133190960906941,0.031614810062451495,0.046600145360724404,0.012668929536753545,0.10765325179933444,0.05921980987803664,0.0764800672206407,0.04490429327151824,0.028262551172437953,0.11273440472759673,0.11206089229586166,0.12341891288058138,0.07286604054611681,0.05426289829747313,0.023081411989894253,0.04052333647740732,0.02215899136112036,0.09981894451250921,0.03767607116242191,0.035192116184270726,0.01270720353675782,0.023577982390577026,0.030751995454106493,0.0324216855794613
Net Income (Discontinued Operations),0.08997341417126288,0.09152316317416886,0.09921257177045682,-0.013848908673494795,0.019556973901661764,0.08396722183206394,0.09700162155988284,-0.021950519727647194,-0.005775108653762604,-0.019678824699367763,0.07979630504005861,0.08480105885755213,0.05706933196990174,0.08419437203262875,0.06639236710202895,0.07593907063273544,0.08727749898147016,0.09459022279218707,0.10505949634564353,-9.967353727700651e-05,0.11204805745752348,0.048122255833062295,0.047224095552728565,0.09227802678390906,0.05765279495591324,0.07601774281161436,0.07838178948402594,-0.029206308939453723,0.002955548437352772,0.02146172069265252,0.04997355069191035,-0.021473923637550643,-0.012175844657870647,-0.021118608948674268,0.20860775937075873,0.09380528975292768,0.08372767164179777,0.018675820841590876,0.11134151557038528,0.07602798457302115,0.0676977442538349,0.08471845275168649,0.03624930399135868,-0.024320215537592407,0.031118337061259525,-0.0035413248453732282,0.17106052736052027,-0.018554741331626656,-0.02342453541977793,-0.04069950676130651,-0.005288713798880953,0.027885037195959455,0.056809396661286496,-0.015908685086268,-0.01642055671654351,0.040635533621707194,-0.0030878001257648646,-0.04648809400194485,0.00708150681018688,0.03131175218681283,-0.01112627748494819,0.08495645700655946,0.02448863322322531,-0.02844739229508258
  Other Income (Minority Interest),0.04756372667231673,0.044890108999213356,0.051681598047846326,0.07397199810400634,0.049264406890055845,0.05453811916126251,0.1635548140675936,0.19469372246220223,0.05328203883140021,0.050656374308327014,0.08160613028901843,0.0545433058161067,0.04240482850643521,0.03749447544817653,0.1547779298190806,0.06113056822681852,0.04737188766138667,0.06943660839497061,0.048646357002972845,0.11138634016676545,0.10418217613954622,0.18337552448671435,0.10052728003864479,0.15608667085263822,0.11575330839018866,0.08461878605533603,0.0736969029749453,0.03778069613143016,0.09592396717517347,0.07040418572343561,0.06793270398872453,0.06900044743055811,0.11981836249536947,0.09572385391240795,0.14533117633123838,0.11399452616882651,0.089170862429512,0.02061289674913973,0.09111362163546409,0.07524061350115452,0.041863637977136235,0.07300166381092367,0.06154891860014814,0.0307462218151414,0.0596829432239471,0.05771869465771108,0.07788556030976906,0.14335401567909345,0.06304914164527162,0.1306187688548333,0.07356151413761455,0.07922612606300952,0.06156625807784764,0.06304475119784338,0.043857871494327474,0.04136163445910436,0.16098008460071925,0.15683124273215465,0.07046503340817059,0.07492847303636062,0.03336135798190894,0.08285364045688334,0.08625176432184635,0.0845451106774295
Net Income,0.02377991784052484,0.09714579402223404,0.024975184071527195,0.04125049167351738,0.008706887778057741,-0.014138272654391208,0.02067887188637768,2.3217304964225603e-05,0.034719442544084204,0.01476053709600865,0.021467115329242555,0.04475001919986228,0.09242578895014068,0.09724002203484919,0.12612490345889357,0.018498337094850388,0.0005922569079179281,-0.00023303162903141666,0.00013135883797162897,0.013926682005376072,0.07250168725260325,0.09216093388460597,-0.02744756213470467,0.015400413142194093,0.0868419649561399,0.024841304785996516,0.005171013878009181,-0.008442318129490037,0.006670487880519894,0.015162456119308857,0.03854215200405749,0.04683903549836955,0.03274202469897848,0.040226334396921345,0.07848845954454513,0.006970936039720762,0.006577219511349649,0.00299496661601615,0.03610286666679405,0.018228543353680786,-0.001533993191141733,0.0394052460373472,0.03350489432457961,-0.002634406769495168,0.04035818867925925,0.047946317019900285,0.08935010966102211,0.05185276779183923,0.037839186225091304,0.008869704843420173,0.015779034317596134,0.031017268246356602,0.12166328128035733,0.04164974639602666,0.021525773968019156,0.004177995901969023,0.030815645162586957,0.00835231704368511,0.03737856363702792,0.051496313986024146,0.0063913205080402165,0.0035419804705791123,-0.012300365293786912,0.04262823604618866
Net Margin %.1,-0.032190842405495884,-0.02733588291863403,0.07624381754010612,-0.011898369323953058,0.05622370100383003,0.035454053538788916,0.05153103851421499,-0.0021545721071997872,0.0773433619707308,-0.028563857384503084,-0.0027468952642671278,-0.03870117391353982,-0.029397899657077998,-0.022692363048639995,-0.03270206483157335,-0.008054785482351372,-0.010870511729489728,-0.007746910962918355,-0.0092394203587896,0.03885388690744148,0.035914920659895676,0.0028758765170018193,0.04164904500199073,-0.008633855134022109,0.020595161422533096,0.04055905335783336,0.03853731718350352,0.010912221875502906,0.027541321298638052,0.001235291160602911,-0.01776153443408814,-0.002376064006705411,0.03620652972534784,0.029897077443653396,0.005087746253740185,0.01231546619044813,0.009641933910686839,0.046509129863175236,0.017292302274208915,0.04915371594994907,0.03944809981564411,0.0739258440747955,0.04723058832819631,0.028949688948540744,0.004801519393159232,0.008842044633727123,0.0019658158631244895,0.07739720386381739,-0.013653711342234982,-0.0072856626001673655,0.05450847867587613,0.04349013529236323,0.004100471540687868,0.001288676412423125,-0.03606007411649852,0.05411655429414327,-0.017048372767932925,0.03716896204798344,-0.03665927565910862,0.0033624672854225216,0.0485890696118792,0.00229652941345135,-0.009843133835085498,-0.023490922817586
Preferred Dividends,-0.04786621733084258,-0.04811841580342982,0.01197366466209317,0.005536337171683461,0.02608084814562289,0.018929029460035728,-0.012666497027822687,0.0034342512544316556,-0.007654602476286009,0.010942075673477374,-0.016625107635121046,-0.020357908322488894,-0.04109996091045066,-0.004063452545925248,-0.023242135676991155,0.05241350503950851,0.05239846232501402,0.046115476482039106,0.06818576919049456,-0.03864434542343294,0.04893802965594386,-0.04017045496970809,0.005785303036976478,0.11862422653235036,-0.001546008090459708,-0.003320277981743882,-0.005662132261236655,-0.04170692628183271,-0.01636089337122074,0.012642233669836418,-0.03049112577049585,-0.013490405020679483,-0.020876547161305388,-0.03362174293268838,0.07856388034639562,0.08577131736273023,0.08791018950741324,0.05763971287259992,0.015572736635344902,-0.0009243620116741935,-0.04232793176409763,-0.022835251608516093,0.010194548503695718,-0.03506594652583399,-0.017448750182785078,-0.012993087840285057,0.079392423418116,0.00025499747416347744,-0.015764912816632618,0.02186750986585879,-0.004567740200289568,-0.0452920279835343,-0.005615477183790036,-0.03240555576162423,-0.01628024645035124,0.036923801053906906,0.23182718745343578,-0.03402813724953067,-0.01692227906815926,0.018687252177352766,-0.0033940246347779306,0.03858657708967339,0.00048379916881822983,-0.06137835617874768
EPS (Basic),-0.060123476329332584,-0.06160996625870828,0.0569762139650438,0.034824754250018214,0.08989257705677259,0.031838176787762136,0.00018421559320989911,0.07263722287130835,0.14579888148754727,-0.01936928036000249,-0.007943080631810182,-0.0606290173653653,-0.0617129730982173,-0.05991408827253852,-0.04918724951120427,0.0338427645964459,0.009346096888660019,-0.006407084772772684,0.014317522421455172,0.07132104951179023,0.0332031065058558,-0.006795710158644328,0.04364995705152199,-0.013301845154232331,-0.00953838214758088,0.06925532011706702,0.03348951900233072,-0.012359610932579458,0.02996417243905978,0.12646462008065498,-0.013489238829091406,0.04612920543041258,0.014902126236134329,0.003662007652800402,0.02698727991293994,0.010970027280582132,0.0021620986578035524,0.029963722603180625,0.04417842191653719,0.05590082899464775,0.05381018102177542,0.10302622281072434,0.08592852245326717,0.05308013936789746,-0.03982980859425079,-0.042130685522166755,0.0011738952587134043,0.032427784789423875,-0.05221457500168699,-0.042898140142967334,0.09902583931024712,0.09647855794472929,-0.028892596728636158,-0.049115416832226075,-0.04561508909474431,0.02435148331038118,-0.04374331179560453,0.01966900373383087,-0.039285085236735476,-0.019745591273671755,0.034826570126276477,0.025182717154557607,0.05641305335768023,-0.046475641193654375
EPS (Diluted),-0.056043211220446434,-0.06181935431550235,0.0569762139650438,0.029503865057086073,0.09274772470121485,0.030202223266585258,0.00018421559320989911,0.049467583372118616,0.14463803337607523,-0.016868603707210723,-0.007943080631810182,-0.0606290173653653,-0.06160996625870828,-0.05321387342063685,-0.04598805070493493,0.03787325864267464,0.02107772617934758,0.022776642309316798,0.06752740945097065,0.06813447731425566,0.025428415959080533,-0.0029640192755716853,0.04425552690329966,-0.013147603159782237,0.004270384430326683,0.07323576520136513,0.0365954754754382,-0.010897880299993362,0.0331744669540283,0.12973495695810625,-0.04215919260679806,0.08820072795066265,0.019489358000715856,0.010968278733699384,0.07558239359648752,0.014636677472327598,0.013995926539703761,0.07335256863948644,0.03308112157418895,0.05453861838550408,0.05248110152265097,0.082614795861155,0.056679668004547254,0.05374792830011025,-0.05131922090125209,-0.056764893849312575,-0.002604004818205172,0.08592115059795644,-0.029092049473217026,-0.057191287230404605,0.09494009038881077,0.09514947844560484,-0.02150726619874864,-0.036960894430961795,-0.020229356804770355,0.06881515776980543,-0.01443363274152844,0.00426944029647205,-0.03730012749681461,-0.02944450619012854,0.0421602033100785,0.026110807213728604,0.041717412714570155,-0.04340363371564677
Shares Outstanding (Diluted Average),0.02866406285931493,0.014083108513691319,0.03288985068365733,0.04570116196936573,0.009808898444471782,0.024925227206977547,0.02708740081059617,0.03521100696001479,0.03847795404902989,0.021142639683895226,0.05292584190898307,0.02811988069512966,0.014574582765794375,0.031139023583163523,0.021001788948822736,0.04224049790431544,0.04080337333352015,0.035960780094296846,0.03883674022315131,0.008300304972749735,-0.021642417939033015,0.035968068994820045,-0.010268077581961214,0.04993572609171897,0.007434654614203853,0.015754476603656357,0.005196727187470163,0.00047852268173123515,0.030159267082872903,-0.019620021999267438,0.04313908550134145,0.0230252900748035,0.041884154357019324,0.03214267651603225,0.03023879990471072,0.01798743026108546,0.008537428973394833,-0.010751704212818212,0.051838063318146416,0.022298158157037846,0.007516902358183565,0.015736377713681138,0.015460773244340368,-0.007887878535985892,0.06115208829682414,0.05925978128697415,0.02356811305881598,0.006326612245326555,0.08282051152584037,0.058440586117748314,0.04536170337714804,0.036237641800723946,0.051281319692470136,0.048965509950506574,0.01488677759640928,-0.007582723740125769,0.10358314094789883,0.02481747863416269,0.027245525995368548,0.014370351328011254,0.005517713503853413,0.027542827250635515,-0.005117438477648006,0.026420589759340293
EBIT,-0.010037081338079224,-0.010037081338079224,-0.006412692579202314,0.03593086623203694,-0.019569333329658226,-0.01627995276104393,-0.01243081222933213,0.00613767834443043,0.014847385379373555,0.0010041417933399901,0.009568387910162198,-0.009995286447928953,-0.010037081338079224,-0.009246664374944806,-0.0024955600994214172,-0.011690176469942613,-0.0036397067901199755,-0.008393141119020571,-0.012856283364041914,0.0061745087368606085,-0.04665391322501909,0.000543950844870177,-0.04196006771006345,0.007376210092983806,-0.013354602957784767,-0.008100667164061512,-0.020718937359748887,-0.021165194795752594,-0.011303704533911321,0.010531779132409085,0.0006569053682786694,0.008522503227926907,0.02094885911954145,0.010179412279690018,-0.014213914296494013,-0.016127337726233457,-0.015144541670770865,-0.04520925067791906,0.0033164736229637642,-0.012404912219100856,-0.013154265712628073,0.01195157842971372,0.010671189410748922,-0.00340946638391279,0.025424051343861442,0.011652402977179004,-0.009671366489934668,-0.015713322571080796,-0.0037103852946612104,-0.0022217574524800564,0.010731334512090015,0.009919023209230042,0.03875814826748386,0.03254672781215111,0.0038412295126507862,-0.014393176891860864,-0.003568933742043731,-0.014709082786572972,0.012405093324797603,0.001496543281772401,-0.02444786340154033,-0.00042877699084989266,-0.04308357389481745,-0.0006394750669668774
"Depreciation, Depletion and Amortization",-0.009633935270069687,-0.010909753945013017,-0.003711472926390804,-0.014287533877711549,-0.002522659803131989,0.003105298277631848,0.0649875564435655,0.07296884953461362,-0.008652855096472973,0.005608882122852106,-0.003514906452118654,-0.00984366911515481,-0.014028878033934277,-0.0034506792817849755,0.0040758334559235915,-0.023701133994254952,0.4920710157146121,0.45624545750658096,0.21259515536444384,0.08027393459625023,-0.008441070239561237,-0.016593659604354143,0.05038518398176213,-0.003892007913760812,-0.018524490993338246,0.04195847472440415,0.041312158603929054,0.04676081816992081,0.12253927667692226,0.0009390375421450377,-0.0030152188358393882,0.011048390917862052,0.004562118990059416,-0.009705347275750145,0.005658766665861263,-0.004979830516023343,-0.029993589584757455,0.036411499359986645,0.035190341097407256,0.00913141129514807,0.007248641283849137,-0.0032850967586447216,0.006516744135976913,-0.002218208355320195,0.02604491862381046,0.03866924474493509,-0.042443517991049486,0.07736800313727248,-0.0009742957904124785,0.018624145373315727,-0.029844887246821005,-0.02859063988380905,0.008564258978380156,0.013470341125518061,0.005746747586256503,-0.00818015717499979,0.014441023116555094,-0.02044045087723291,0.01776922305607078,0.003143323654651463,-0.0037717404706516956,-0.003519229751747722,0.012827840796832288,0.017824923564146597
EBITDA,-0.006283301141833814,-0.005793141189495971,-0.00297267915032184,0.0388987409124425,-0.022258367348330917,-0.022394397468633934,-0.009532651421979906,0.017556830704360045,0.01735071799215326,0.005629811891298894,0.013935048967779652,-0.004677134215665912,-0.005793141189495971,-0.004965404884230154,0.0006379835590201591,-0.009345873612589909,0.0059875327166769195,0.004036456378969478,0.004642893547808107,0.007931969960021663,-0.05096297824309034,-0.003294656096002823,-0.038916191687295314,0.004801838752977973,-0.009531335559553,-0.01884627908129113,-0.0197934694018851,-0.01851851873327844,-0.009351651573238695,0.011957443252693474,0.005241858486523924,0.009279868137527701,0.027633076091684933,0.021474682332173325,-0.0031659028673137377,-0.008143726602845635,-0.014507673258323061,-0.02013000373202991,0.013549525686116838,-0.010999345002131244,-0.011740192318653676,0.015539975509952429,0.012306187196322874,-0.01955027123198129,0.03767034637389849,0.03884350448393607,-0.0033224987033192706,-0.013558918669506011,-4.933125154235997e-05,-0.003964515840273864,0.014412503605820998,0.013701120433494363,0.03896536029850221,0.04089716662701994,0.020363292269344524,-0.008728231053360935,0.0008278363732586941,0.004576549743129594,0.015258001971521249,-0.00229481212475528,-0.01710187141429082,0.0007687979740073425,-0.019025012774521455,0.001242594831135839
EBITDA Margin %.1,-0.03140152104609002,-0.035049264601157704,0.06611904007269881,-0.007459621024549432,0.05947022289957639,0.03928203788703525,0.06009975973872608,0.016189916164595808,0.08236172259324702,-0.021463010939467314,0.0007430519200979655,-0.031500215428970774,-0.03398767388099366,-0.024326047463196374,-0.031204572581774767,-0.001843187781395147,-0.00769358183301163,-0.0030660792610494193,-0.0039312174931720525,0.03749878283685367,0.03241135191392948,0.0016100724352680297,0.0430633061589066,-0.008978212113115029,0.03841099073076577,0.04124877784072547,0.038741950238945944,0.020967807513381412,0.02629149888024816,0.025493454214942004,-0.013594342792488553,-0.0024004089165781603,0.038244067736229376,0.03918336914608124,0.007803091564822626,0.01107557246230383,0.010545116503810903,0.04774871568770365,0.020721191350850866,0.052257240151482004,0.04032929207665894,0.0599482628797559,-0.01069460843173962,0.021111084245349666,0.011647266216958684,0.01565139952069993,0.005668811771153475,0.08066615227539596,-0.016599484854077737,-0.008594996646588592,0.08083838734215486,0.048255982050789535,-0.005921056210400988,-0.009948395663635104,-0.025438380070493642,0.058522926059098625,-0.013808344334303706,0.038004166022354714,-0.031205229956718223,-0.009516373472497903,0.03081530727802047,0.003981225927951287,-0.009202313695214785,-0.017965356562975463
  Cash And Cash Equivalents,0.08566327379692007,0.020441209412596736,0.09666681326738366,0.03660487377244875,0.0006601622032834176,0.08983843817513865,0.11303690994381553,0.05358946755475757,0.04981372854594486,0.0015870930856163989,0.1397790031736176,0.028475831155012135,0.02147201312169197,0.09062748442177238,0.04101508372658618,0.1287880746009045,0.043698923757071455,0.04519498287085993,0.04973582468409144,0.05005202586540883,0.004485125702872039,0.06585989690006433,0.023698571801103945,0.07457826527422402,0.03339084894069394,0.02008278850399417,0.03285405611939548,0.015433168792094536,0.0332232500394299,0.09454846980228122,0.020889363164711447,0.03299998784220422,0.052720991833220245,0.10140448979273137,0.10043165950014284,0.10219126702587857,0.07821647622470529,-0.021017728411709923,0.13201729391651404,0.039470934126838754,0.01902136480129011,0.03260662382364397,0.05554772455803852,0.026702174193236363,0.03148150614815675,0.03293695763191307,0.028350741169022423,0.02894335030523327,0.039728380229925114,0.15077199753347256,0.05660673927911675,0.04539645824986839,0.03617148419924852,0.039037647232451955,0.03689914889729755,-0.02481684859364873,0.04799992171836957,0.12256866386630492,0.6434905431713617,0.2512979012636417,0.007645231793045633,0.6409421578418375,0.09908053810931006,0.0956358596663056
  Marketable Securities,0.062301972001892865,0.05947052632482909,0.025410710160098198,0.1255712639014033,0.023289734702871923,0.004399790646646982,0.03477867939410502,0.014645995450169237,0.018826309397491532,0.05713186883994209,-0.02178403045655824,0.06607800814280769,0.05778574729199808,0.06557991520131812,0.06686367751371691,-0.007257224680426045,-0.01665989441934137,0.0020504640891880897,-0.008052319565961653,0.06360499769086779,0.009410192837552313,-0.027054176609108548,0.06007925631689726,-0.011738098969541878,-0.0050273926058451365,-0.0055756329615560185,0.061468983730200585,0.05330323401012615,0.015576765876028041,0.00936725170366746,0.05234238041890972,0.006713486802315422,0.02616269906273078,0.07835893426398459,-0.0007068247501249461,0.019962361964653237,0.018855103887547957,0.05686905519904697,-0.015181762596649509,-0.015164083180435026,-0.01537269427447372,-0.03130752636881072,-0.01329785473454709,0.000511791968693779,0.22300637794240719,0.12878734616846382,0.06905035212833611,0.04006609419151845,0.10269573326060796,0.1454876286868828,-0.013828361896775006,-0.015555587426394298,0.13955642227525542,0.1413035921075515,0.09384890553459278,-0.0013732236294111376,0.0422964340674145,0.1269104603361601,0.0655910582017477,0.06008525527342009,-0.004206082135731067,-0.0005256460777137001,-0.0012085498683655066,0.07028382523453443
