,_PO_,_PO_.1,_PO_.2,_PO_.3,_PO_.4,_PO_.5,_PO_.6,_PO_.7,_PO_.8,_PO_.9,_PO_.10,_PO_.11,_PO_.12,_PO_.13,_PO_.14,_PO_.15,_PO_.16,_PO_.17,_PO_.18,_PO_.19,_PO_.20,_PO_.21,_PO_.22,_PO_.23,_PO_.24,_PO_.25,_PO_.26,_PO_.27,_PO_.28,_PO_.29,_PO_.30,_PO_.31,_PO_.32,_PO_.33,_PO_.34,_PO_.35,_PO_.36,_PO_.37,_PO_.38,_PO_.39
Tangible Book per Share,-0.005453696428765475,0.0501109701967536,0.051336979360288325,-0.05439624544190286,-0.05439624544190286,-0.027773483229806547,-0.03146017041958947,-0.004393160957629979,-0.0233188801887017,-0.024004172861679447,-0.056816434622324274,0.049519408521138626,0.046665731722123974,0.04976778522919125,0.022264530542904136,0.04545573248021753,0.040091358665284016,0.0384953184758749,-0.005532959936520349,-0.04350018805235256,0.0198727724915677,-0.04147933803891377,-0.04342731882644041,0.06244172662375033,-0.04742617511248874,-0.043370731803212055,-0.058413524297425926,0.024265975910675138,0.028751845062815588,0.05239462633809251,-0.022328245832108004,-0.0251757994831446,-0.024565634513662022,-0.02000113482524836,0.022810074682579517,0.005878330848736043,0.02771515967646033,-0.024446894944556458,0.022101274731078098,0.021278617373645076
Total Debt per Share,-0.02265077633415028,0.03647190467466063,0.03662031593785199,-0.049850774863976814,-0.04969671789220712,-0.009765877697721541,-0.012785429633419344,0.007089537625710289,-0.00919115860811635,-0.007722692054917382,-0.052407453390017525,0.033952340485091714,0.02044960220573183,0.032719675181907416,0.01674365367125987,0.04337483519253067,0.010943749353894087,0.014003774732176495,0.009436833855449937,-0.04134889883923169,0.03696502687124656,-0.04252454275015241,-0.04246800713871364,0.07457251530096191,-0.05250243661085293,-0.04156903336233173,-0.05248559403220014,0.03368634203894665,0.03420319587920923,0.036079737859618405,-0.0433404625009502,-0.04110032551185581,-0.04125438248362549,-0.043197896860763495,0.014443054786404782,0.015229016920722167,0.06534486428518245,0.0038029503437826176,0.01317319670981516,0.01456929864626846
Month End Stock Price,-0.03824941426188038,0.0038966358467971505,0.001334660236799211,-0.05922002231887452,-0.06145344428599379,-0.028053186270745746,-0.039026957996525335,-0.021065967828115026,-0.019212055541155276,-0.019211077444264642,-0.06466159517564413,-0.008068332296311893,0.006517285371204203,0.008166114113063144,0.008727940523766764,0.0189646650308393,0.0063760278320698395,0.004700993402135917,-0.02199593203870701,0.017665892809013983,0.008333340945558196,0.01771979497096848,0.018489881969937044,0.02947123892131185,0.01833342290573934,0.018656357422164815,0.018170204713583202,0.0028278246332624074,0.00300356915178002,0.01783016854563825,-0.09648307571145257,-0.09588421778573575,-0.09802871009444589,-0.09567551045203287,0.007687107020744188,0.008165725358425885,0.017592007129962516,-0.10009539825638342,0.008250519388762537,0.007687107020744188
ROE %,-0.011041464271283198,0.026158877419487067,0.029950794317415066,-0.034547826197010065,-0.03506553721987657,-0.017503280508736466,-0.016717036078990544,0.0006338937002782008,-0.01264679456745024,-0.007242543385257292,-0.04019777733865362,0.01920308542184385,0.023250815006663005,0.024071286574181023,0.021378378556202324,0.053789726270981046,0.013259103277420598,0.013333211032745058,0.008194062722024179,0.037718575739477435,0.011845245581641715,0.037787314627169125,0.037787314627169125,0.03635120965062986,0.037489751981243845,0.03834843348473536,0.03632064171587715,0.036164375603854076,0.04188101166173971,0.032726022251304075,-0.0715734812074679,-0.07108030928343888,-0.07257330610141272,-0.07131888711266707,0.012644467637612563,0.018012934339641747,0.07357996825423657,-0.053074393639519706,0.012644467637612563,0.012644467637612563
ROE % Adjusted to Book Value,-0.028574549496576975,-0.0034720812827695687,-0.013392974257242701,-0.0003308225385408553,-0.003307808350173528,-0.03711382266507519,-0.045329859906460504,-0.011697274672972175,-0.02754480405993206,-0.0387928447429072,-0.003796542492394874,0.007837278916566211,-0.011093434288736364,0.007544405466385312,0.00670259311933598,0.010665492527306458,-0.003513015150793793,0.005440051782011077,-0.02638906369952885,0.011144339178934027,-0.003030739387769703,0.013038970706767357,0.010837587325126019,0.01856673123042339,0.0006497636515063724,0.01331805360710962,0.011015620473747108,-0.0015721987887174684,-0.009220078671184444,-0.014791538563739236,-0.10342290837981111,-0.10294183626734979,-0.10170968751337056,-0.10417762820904673,0.011695868518417689,0.011217250180735992,0.0007882109478628339,-0.10239449186718608,0.011630409753720598,0.010749015295030372
ROA %,-0.0241053419763221,0.004711029308185078,0.01272936533691641,0.003144069515496462,0.003704502805375739,-0.02680762323492574,-0.04776514482171889,-0.014959390118154923,-0.012543289219231639,-0.009497892257353362,-0.0014965406798094515,0.019290122806658164,0.01868619069058086,0.023067743876890947,0.019466762527191494,0.019702965044774524,0.01645936102512456,0.020638294617277675,-0.01563846170915879,0.05430719814636696,0.01727222842559948,0.05633358533021528,0.05461136008649902,0.039471156147451746,0.05610476157198169,0.057070127073481094,0.05610476157198169,0.01861806148742075,0.012723989893157279,0.011862440788288166,-0.09557087258541777,-0.09589732049117564,-0.08931768153322296,-0.10044980546717372,0.012170503833844501,0.02012895292268654,0.031019278453945545,-0.09316958506093725,0.007598291615783782,0.0072607461386581425
Return-on-Tangible-Equity,-0.005898949217946092,0.022482300455760336,0.02085088872748269,-0.05375831865730843,-0.05406184563603958,-0.02838928721092729,-0.02447186859667863,-0.005339699959574772,-0.02703335039145343,-0.027240024726749464,-0.05358322729835788,0.011515198811997491,0.010521177649819028,0.010486231309174098,0.0007255611960406885,0.04176170770250283,0.015005418947490993,0.015099251651015746,-0.011016871748752355,0.0017270684336086512,0.010834652570663534,0.0046255098590215335,0.0036188342851181036,0.03995659672316226,-0.009134146345220761,0.004405375335921496,0.003496481972375358,0.02269527868233989,0.02266669005378226,0.021667513348921735,-0.05941031900764288,-0.056496714606759,-0.057345337149280376,-0.05698937529725847,0.001318304770943567,1.809781745130707e-05,0.027739737647675528,-0.01810089924347071,-0.0002131525379908709,0.0014356762038680798
Return-on-Tangible-Asset,-0.03558421007611883,0.012095580812895947,0.015109440297790742,-0.02785231837059598,-0.027093240077663755,-0.03130170254556864,-0.04166540798153695,-0.028493984288696202,-0.023258428442494216,-0.025473778561147027,-0.027093240077663755,0.0073862023677816425,0.0015675770747244251,0.0007396224206369035,-0.008262225686643691,0.018322234353217694,0.002220054502061541,0.002927292401186449,-0.042229084061252024,0.0005723610872747676,0.010297050171444952,0.01568351489075237,0.012100043837015163,0.01883544581051301,0.0016054683095875124,0.014817965831954109,0.012268878170461621,-0.0034937481324027147,-0.004045923619629755,0.009983662773749031,-0.10151499923296771,-0.103730426802644,-0.11210257844856893,-0.1042870777390649,-0.010945017365549325,0.0016376526286815893,6.189955079425507e-05,-0.10870965950769006,-0.010847577111200485,-0.008425481498469726
ROC (Joel Greenblatt) %,-0.01564466124086666,0.022771408295409384,0.02261362382618424,-0.006942913123055268,0.046836968075859325,-0.01028884867634712,-0.003831603830406284,-0.015876941759552378,-0.0038617620826530627,-0.0035859859808320734,-0.0098919312902873,0.01195439931773898,0.010423540331848549,0.009977869949803134,-0.019259300868577082,0.012884008586973092,0.03185481776839369,0.03697811635585663,-0.006080460583632999,0.006227347225979632,0.027807944419547592,0.0033625239099866456,0.0057706549925527935,0.023147936354252836,0.0031566755494407107,0.0031337001517530555,0.0055418312343192035,0.011580009040876403,0.005156229057086173,0.026317455640405885,-0.04260062913748456,-0.06213884462306716,-0.050249313185408276,-0.052057505023281145,-0.019276380174141218,-0.019490175622143772,0.09323079133460682,-0.017714941010298767,-0.019784245957634356,-0.024095520516848507
ROCE %,-0.01103529213673651,0.05318073010704836,0.050088477692543716,-0.037927604543257984,-0.0428534240666181,-0.009205959006628548,-0.02494766261261156,0.008413536957571344,-0.017006079815548608,-0.01687335231660745,-0.03828431981336895,0.040066239784626874,0.045207772178572594,0.04406822066324603,0.015857671736510384,0.03138734513734801,0.027742675219888834,0.03120597116418618,0.020004415904223635,-0.03225207533148162,-0.00414735099173554,-0.03630398333717043,-0.04299308408393099,0.047746985697134134,-0.03188304130894707,-0.01928090698141389,-0.03123901965114982,0.047667988250432586,0.04712260239170142,0.04031627286100306,-0.05864967121785188,-0.06439149385834007,-0.06439149385834007,-0.043712317834711106,0.02497380221925256,0.00589148315156472,0.07976734856272501,-0.029694014912888755,0.026244280366335377,0.016195497235274314
ROIC %,-0.024837906899926817,0.04431755001283139,0.023087750766353797,-0.048060096988772616,-0.05501783014373708,-0.028385593018282574,-0.020767316829799678,-0.01439980599968661,-0.011233723579107159,-0.012074163418963186,-0.05300264280312459,0.014562968538764029,0.013436077479501929,0.01269199023466341,0.016990280984075647,0.03725091447094589,0.01788836729560708,0.02256440744563902,-0.014533866486095764,0.028903803494765904,0.027185982646381217,0.03084509694602328,0.029894793026932598,0.05156060739888014,0.030616273187789693,0.02793221356078362,0.03081183300567026,0.013114763639875304,0.013636552323283018,0.025919630609687806,-0.10077433586747732,-0.09235780740303347,-0.0975555662927228,-0.09235780740303347,0.011784291156606605,0.012041127941551232,0.03946921347629435,-0.0745584186536403,0.00723178644891862,0.00723178644891862
WACC %,0.021355013017296115,0.006558585197077729,0.011018934467341389,0.020008571846566493,0.020129909271567922,-0.03933884146671362,-0.02465953570835088,0.028125210425737627,-0.01829774542405643,-0.015369063011407495,0.020456884073032026,0.024865675833696522,0.025537870451846027,0.025537870451846027,0.021884865312000387,0.023330891227768942,0.022111440250131717,0.01995774667807968,-0.014079206931759687,0.007643292824572937,0.005539688012997938,0.009787701588265404,0.010070753763732988,0.0264637996798918,0.01077988722181876,0.011165365704546187,0.010537734536242647,0.012999325998563864,0.012139123581147108,0.012000151877399633,-0.052369346599415376,-0.05471185458101921,-0.05471185458101921,-0.05398547117267342,0.021589983820344983,0.021578961968963552,0.009154932284959501,-0.09080205464644894,0.021393479665234364,0.021504297202317856
Effective Interest Rate on Debt %,-0.026949143253217542,0.006352621855281027,-0.003460394613731592,-0.026533705760330657,-0.013186612707459794,-0.028547214470979874,-0.016566245144431804,-0.02817711415450492,-0.04191307824557943,-0.03196243619075094,-0.012529527905796907,0.007320774138060977,-0.0029760878214794813,-0.0034409856429873592,0.002089486115551261,0.023572594096993874,-0.001092002075465052,-0.003231396506085835,-0.0321613004496987,-0.027338559411650146,-0.016168943196545202,-0.033262360381649675,-0.03600630372103445,-0.015538945883951244,-0.0414892067485225,-0.027546395220760907,-0.03909198392537438,-0.015619504146433573,-0.016569796276375753,0.011217933697619819,-0.0639817280375566,-0.06495546084051738,-0.06811628157592164,-0.06572247263304719,0.0013850057056384538,0.0012616881699263564,-0.03145905204000724,-0.08207674534186124,-0.014431540946327218,0.0015942198161903115
Gross Margin %,-0.018116344138118023,0.03451697561789276,0.033961142498336275,-0.004007427139565065,-0.004557251181522301,-0.0033085785278011317,-0.0029751572390498346,-0.014625368754030975,0.0033070245273446198,0.0024698549674604855,-0.004707290726003545,0.03730232728264861,0.03734735769929147,0.0354922721232098,0.009040987183368168,-0.006743799598362967,0.05994588693018094,0.059169174841547136,-0.02443020247039006,0.013258306264158352,0.02628728504271103,0.015123865525947675,0.015108812971815565,0.013479087430999914,0.014677823421449018,0.015049004193058477,0.013925102840604083,0.001103923035041545,0.0021827005568484195,0.034019693536950286,0.027925171421762866,0.02737225255378187,0.02731658951028924,0.028110024878700728,0.008175575104069868,0.010164095810928794,0.12441868417970507,0.02762130287414635,0.008648526049823625,0.008648526049823625
Operating Margin %,-0.026673590031429113,0.03444878453795406,0.03706289219762426,-0.007603953156020959,-0.008453960156687274,-0.00576804638443879,-0.002392445312669854,-0.013125420248021432,0.0021167766381481037,0.0035025573734100814,-0.007855271259449403,0.04064864182963751,0.04079763248621674,0.04031901414853504,0.014450831634301567,0.013281108971622931,0.05758205293787302,0.058972476372221846,-0.009795600187910371,0.0017311479030791142,0.03834297774549683,0.0017311479030791142,0.00707318629129081,0.031583769883514724,0.0017667714486948667,0.006630191499224863,0.0020721176320503128,0.009987691252374706,0.011964608448427774,0.03692546619925433,0.004195936967380372,0.001622352673555475,0.003703276276880908,0.00309580379678869,0.013808957484793835,0.012390949056118553,0.0994720489131101,0.0250250434528098,0.013502862653251901,0.014287575822475534
Net Margin %,-0.017952139537728583,0.04195034873820218,0.04091470550115077,-0.009330493399854482,-0.008358823113443395,-0.010067991469284096,-0.005973359830664066,-0.018978060599751465,-0.001895491224087463,-0.0013880613829264166,-0.008435795079387517,0.035399161446623584,0.03506953376552111,0.03443302996973164,0.008841375788471282,0.007836557237002044,0.05604507911049138,0.05669888104948388,-0.013234067481873366,0.003527607458715594,0.03610187315382657,0.005171240496653068,0.003527607458715594,0.030669414932397856,0.0063514064501443744,0.0034206653641446418,0.0048410287272328545,0.0025289421091743013,0.004918011291218289,0.04082589121031422,-0.0026731602257509305,-0.00306687328294219,-0.004804844529566025,-0.0022107581181895312,0.00964796099305671,0.009777592297683163,0.09292537351405347,-0.002511515913492116,0.010137447620285,0.008570883970295146
EBITDA Margin %,-0.01897829340964485,0.042100401588829474,0.042232564468462484,-0.009988952522735323,-0.009880229706240095,-0.017131634483817125,-0.0077768979069976815,-0.018268714065732876,-0.00806283772864078,-0.0030052820698626614,-0.01774666972835699,0.031514287721965496,0.029172174251246335,0.02929787142872015,0.0048049302953708205,0.007377396497508488,0.04669554131343945,0.05167669823787794,-0.014291540491555375,-0.0002388749331299722,0.033918748925643005,-0.0008834089731971878,-0.00019692364335897146,0.02553632627050615,-0.00027017711541851104,-0.0016619387514857135,-0.0006254779173881122,0.0007368024083878768,0.0018396520823618788,0.040026841657422055,-0.01010961510359902,-0.01010961510359902,-0.006812197078624767,-0.011448081779904038,0.005395460939744938,0.0060717708622608155,0.0873480238342795,-0.008504153298293347,0.005451585493668131,0.004641674483544784
FCF Margin %,-0.036285147567451784,-0.0009399500399457738,0.0015945599557999094,0.023157721162004763,0.02156324747384377,-0.012586823053904659,-0.012957363916892992,-0.026425193703954696,0.004903301439843645,0.007039825383883456,0.023195811464857267,0.028905502463067168,0.027736131555617723,0.027927471759660948,0.00874041815519595,0.04062011486675545,0.02418457113043811,0.024216221797191406,0.03838515267537219,0.023569813122123633,0.018898020613757872,0.01371975625785811,0.023498219298979817,0.05824994592306088,0.01360712393681519,0.02229110604013443,0.023605436667739378,0.022693101318952205,0.021630692662411036,0.001749441067776564,0.05466191389455911,0.05636968307167734,0.05636968307167734,0.05632924981772234,0.010846825491161682,0.008577162343369913,0.10072013041943775,0.07842473644018767,0.009313415765033589,0.010339852355441636
Debt-to-Equity,0.029041612381987277,0.05497935600178368,0.054628852923374306,-0.03513360679381868,-0.03513360679381868,0.005191808639190774,0.0013196931585597801,0.027172920419902408,0.0010234460108049835,0.00107614392180765,-0.040583587741054666,0.05192019140501597,0.05192890123014042,0.05016685476025625,0.03113040963541766,0.06591315247389201,0.025522475980053055,0.027511487415081293,0.025558498139446,-0.029889435718541107,0.02669219833827481,-0.029889435718541107,-0.029889435718541107,0.07303558146843381,-0.043155712510454254,-0.030332430510607057,-0.03075484187086744,0.0503135763616528,0.04993891826390747,0.0522858034430361,-0.02663826884601596,-0.026955477184447938,-0.02744257156328809,-0.027923643675749427,0.02890766694684157,0.030840909963727944,0.0888648298714463,0.022770300509388133,0.033003488922641676,0.03274773085392588
Equity-to-Asset,-0.00013241789925835324,0.09478242037010991,0.09478242037010991,-0.029476176878776544,-0.04033474595520297,-0.007428734463058476,-0.004221254456781645,0.013415028484544563,0.0012526461461903407,0.0012830009597181316,-0.05673791778577522,0.07716909553735272,0.06167945535718816,0.058864666792875595,0.0344757429019159,0.050060245917450445,0.03826969931503012,0.05077440039723323,0.03354603402877041,-0.04410885679674311,0.0314702706903692,-0.0316793128589697,-0.01814220511039421,0.07691720895044252,-0.044525113574623146,-0.01900775416919247,-0.01900775416919247,0.0591537451203787,0.058644516216143576,0.09347998308077374,0.02909995899830796,0.018606693753367376,0.018606693753367376,0.018457877508896565,0.049488027009126745,0.06204254355235992,0.10039570673310617,0.05402770943274308,0.06198188467151344,0.04974757670723528
Debt-to-Asset,0.017502493846482944,0.05433900552474233,0.05481762386242403,-0.04257061698549569,-0.04155320978295984,-0.0034259943207817123,-0.005349097987571341,0.02158507707822238,-0.00030511170565780416,-0.0002892064092309991,-0.04203182812064154,0.0515531910871671,0.03623350489039337,0.03871446253312208,0.03296712737895603,0.06411649725287846,0.027032869077399598,0.026712783919634404,0.024039390356222063,-0.030963378532515733,0.04891906559370731,-0.030890509306603583,-0.03112135439087423,0.08215639652690125,-0.04120887338162107,-0.030007869144695047,-0.029440707145586546,0.04903961846844392,0.0501902588259407,0.05481762386242403,-0.028146271624582626,-0.028633366003422783,-0.03135982566044779,-0.029946978301049754,0.03280387156713,0.032069495160732514,0.08658887188254571,0.021962573775181873,0.03101536000572328,0.03273765600407717
Liabilities-to-Assets,-0.0018934043208980724,0.09593525400819118,0.09561454249164021,-0.024486269253490435,-0.024261250620832238,-0.006899919056707407,-0.0017971327435975211,0.026284876356427938,-0.012948507090799212,0.001596018538264658,-0.02543689453175296,0.08270239705392667,0.0702329310172458,0.06814411207490984,0.043581030459771304,0.06602282215555208,0.06402679553187214,0.06457100309863549,0.03071880812732362,-0.02966518032650774,0.0355956543827581,-0.01723477784243023,-0.02734678971049055,0.08252605049341771,-0.04385474279799645,-0.016567776145837577,-0.0173116272410955,0.05499634811897252,0.05526728542519566,0.09471168323131213,0.03602304505250862,0.0358864974428853,0.036608920289408035,0.0358864974428853,0.055643277921841296,0.05639025064801369,0.10256986635026018,0.03924103569872844,0.038266196459470006,0.04365057582340386
