,"Cash Flows from/Used in Operating Activities, Direct","Net Cash Flow from Continuing Operating Activities, Direct","Cash Receipts from Operating Activities, Direct","Interest Received, Direct","Cash Payments from Operating Activities, Direct","Payments to Suppliers for Goods and Services, Direct","Taxes Paid, Direct","Interest Paid, Direct","Other Cash Payments from Operating Activities, Direct",Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,Exploration and Mine Development Costs,"Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Other Investing Cash Flow,"Purchase/Sale of Other Non-Current Assets, Net",Purchase of Other Non-Current Assets,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment",Purchase of Mineral Properties/Rights/Interests,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net",Proceeds from Issuance of Common Stock,Issuance of/Repayments for Lease Financing,Issue and Financing Costs,Share Issuance Costs,Other Financing Cash Flow,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Repayments for Long Term Debt,"Cash and Cash Equivalents, End of Period",Change in Cash,"Cash and Cash Equivalents, Beginning of Period"
Dividends per Share,0.05886581799567061,0.036974709908598635,0.07650876188802665,0.07236012652351402,0.056738906602525487,0.07165066427276534,0.10063660773258984,0.03894369353875264,0.09065538960989589,0.051686916240690585,0.021178394206251522,0.08437660460541657,0.04294595217566609,0.07586791151103242,0.06147585564606846,0.06406198466181556,0.0625795134104879,0.05288960449760286,0.037036846063721394,0.06813612325415397,0.06664265084309849,0.0404552444233822,0.04687026644402152,0.11912177165842343,0.08597424534874078,0.08573234480995715,0.08413834283856368,0.1705676380462544,0.08706760719645676,0.08571434412907465,0.06220003825632644,0.08905869290261581,0.0956403165390983,0.08787599922332152,0.09205378544167554
Book Value per Share,0.023662432397013173,0.020734410552464458,0.0496848429998953,0.04293386843117207,0.022971549938060366,0.04491433134172961,0.07548630321110482,0.017218669502574654,0.0687403856499798,0.061607574980074874,0.038128311849385754,0.06289813483741308,0.03595995224348813,0.07069384295939089,0.028742377451842608,0.0321333721717392,0.06603388802029253,0.07011905777406649,0.04684289277659497,0.0549387204154059,0.05125755762142484,0.0368727311828543,0.042746334920766973,0.04870810556315804,0.049273039023644605,0.06995975278418691,0.06435830116865277,0.1683080559501103,0.08175191084980472,0.05364017991817231,0.04938549080600028,0.056987889047048365,0.05698497105929129,0.08470447083816483,0.054914274371404836
Tangible Book per Share,0.038385693497226335,0.03324793308267731,0.03119958449398754,0.018892892101670018,0.027027164015815702,0.054261526334914656,0.0843749895428747,0.017929909451100207,0.0431659002173334,0.059985784636016136,0.049168216942458653,0.07239360699585314,0.03641756141844965,0.07641851084465155,0.03687782838066452,0.02694591346573966,0.07316929972800273,0.07163990941939806,0.05945008619966588,0.06043109566356195,0.058859684823901394,0.043872093144532824,0.05194729206037464,0.04617699302860956,0.053085170564335496,0.07339505482007469,0.07545737129148729,0.11953693455608144,0.08322732463304572,0.06087318359569105,0.05826780187837247,0.06513828033788968,0.04465393116680336,0.07254580955150186,0.04202105052581108
Total Debt per Share,0.024184374696876003,0.0315283980208021,0.04948478426378943,0.050604915917820396,0.021467918144311218,0.024575985514261017,0.0696628770837674,0.08483193080846496,0.055683284555230576,0.05040822324190503,0.00023206735025353437,0.04357868655802914,0.0264530917467306,0.0593452830109691,0.06375528417347241,0.04240233018879779,0.02398115563752105,0.03068397320340627,0.04344847643493109,0.03496644034951189,0.046901101802664914,0.013034915293884172,0.02222166279626138,0.13887995143873816,0.1441553639807448,0.10057825996357295,0.06491870988933389,0.13350013249308987,0.044781051904141646,0.08259799859783036,0.07539119650971954,0.08189258047347446,0.0580470815139181,0.07985318074550576,0.06815975883483688
Month End Stock Price,0.006631000816390802,0.012568320589493014,-0.010462284595691547,0.004649601481277222,0.010997142724409471,0.018401019611352893,0.03845225639142445,0.024620923238655282,0.026283964993574844,0.016800708885928866,0.01787903756139295,0.03129008300651753,-0.001307919550158256,0.02257274003979875,0.037430368963051325,0.020937916828013048,0.030395372399472705,0.02886308632802643,0.012957186726260289,0.039012709682348795,0.01085272777530013,0.0030961629770112848,0.014512686475692944,0.13191311279519177,0.129013132326467,0.030237599260338543,0.040851415482271274,0.01808893882123874,0.03259395638305524,0.027782469252262125,0.02214339727116937,0.0321005749620226,0.04080592768588108,0.013993886547109126,0.04055188996671547
ROE %,-0.01534624018017669,-0.01478670419938935,-0.0035479438104240616,-0.00403879161437554,-0.013637584026745562,-0.009127022969318884,0.02919511817596942,0.012769139502682797,0.017008900874115863,0.016455717080651952,-0.012648507829785839,0.003846949454266899,0.002291960780029518,0.04257994325206869,0.043152144957494976,0.011632662259978364,0.004197987871573177,-0.001337344575498784,0.007396751950058625,0.0029464980351966885,0.009281128436674994,0.008503311967235921,0.013826841333410129,0.023337258615396206,0.023171604692296947,0.004051204854794616,0.007391005584374034,0.015721828730550298,0.0019777260172721403,0.0030290609039820824,0.002693752061668576,0.0011290045595909472,0.024357656951462178,0.05489589819316216,0.039670763222924586
ROE % Adjusted to Book Value,0.01672070942065947,0.005636085902699522,-0.011426662021726323,-0.000540880635127818,0.006677572408189746,0.02217865162358664,0.013588601576616477,0.012327225424635716,0.012954873437380979,0.010795304463149958,0.008603532086564237,0.00882861598445528,0.0012038006599195952,0.027802247995664407,0.024002840732142077,-0.005107427076891758,0.02817114950603315,0.026586140133654266,0.003930721812944164,0.023659108672029687,0.009161920138305645,9.430778592411405e-06,0.013167786640096017,0.0250465985668823,0.025850324544023712,0.023528755701068674,0.03258464544628264,0.03067664615625877,0.015216226264990106,0.026285733636322035,0.025399978938319825,0.024878709326623945,0.014895657208878728,-0.001030211606863684,0.02763184051101457
ROA %,-0.008187642201537504,-0.008895382370536229,-0.022987146132402735,-0.026519442985852557,-0.010522316741781678,-0.006754111979346642,0.01245750317144478,-0.01195633377272615,-0.0009999429101338235,-0.0030819883497249416,-0.007946446960876727,0.005185976428309058,-0.01972080398589188,0.004449324867106106,0.019863202654634905,-0.014955465676628744,0.003982300859292561,0.0037727393671092473,-0.01285859486050147,0.004618838239329102,-0.01296286784537111,-0.01003561084009153,-0.006493776805992713,0.015556676305584834,0.015855853583111253,0.0036675315219670762,-0.0007865672501891777,0.0012959374508380332,0.005097680070782941,0.0034102257291300036,0.003560670992459614,0.002923459445774349,-0.001492868062843265,-0.0047127259641482925,0.023966733167596208
Return-on-Tangible-Equity,-0.007583286480952207,0.003917685638436313,0.01171513461898758,0.010557461550682995,-0.008044981557351186,-0.0009292349454378956,0.036133652230678305,0.05276712823534603,0.022610789367466484,0.09747719060260042,-0.00421230938410216,0.017784629936918386,0.006451733716885429,0.04678156099860978,0.04846072624102524,0.056387170315387036,0.019282812760322204,0.02119811983135144,0.03383758084528881,0.045062741484015095,0.02436440502735205,0.006120134731786881,0.029133483374997982,0.03562583732747948,0.029190534313070216,0.020782430922173637,0.025631615411088583,0.025695361275548702,0.018227903873455027,0.026110378436450112,0.0206058488113198,0.031067093117512577,0.04280928866874367,0.053483844468807606,0.0602829895300168
Return-on-Tangible-Asset,0.01894774256582181,0.0029964555352533714,-0.011327556198897684,-0.002911025225266489,-0.0016299857530294917,0.009267367870958573,0.041641742623020936,0.0037847823183334837,0.0026988580581954968,0.06631749972344306,0.06941358566844653,0.024055473270255277,0.06193288726048256,0.08430383406491157,0.10331831837815036,0.07845801390723724,0.10382979179243142,0.1058750976531137,-0.004826838594081158,0.025820953800638747,0.004216931356122437,0.05839027056219352,-0.0017818810299465061,0.04660779376662121,0.0329570806536499,0.024164285611110944,0.024282288764337273,0.02901175096713557,0.08825035367021399,0.03331398544261352,0.03569796418962653,0.020173751046080955,0.009025240055006717,0.007229024755895092,0.03748823030488961
ROC (Joel Greenblatt) %,-0.00543895762170135,-0.028928259308856303,0.03638616572402855,0.03401602448804703,-0.013752239274878609,0.012782183789404258,0.03901357745231141,0.04360692688623298,0.05276847114810223,0.04841884420683559,0.00998961758497485,0.03948018775314106,0.0490802573598369,0.07037418223909929,0.03134651668409612,0.010493556764628273,0.025581503634512205,0.03953988587330888,0.056466027224719516,0.05928062673952569,0.0615614313153144,0.031281806536268275,0.023816140674777688,0.016754262400669576,0.017515068380822278,0.03999910774213026,0.02014659289809792,0.04003406101456347,0.026331687439974567,0.05989560298691556,0.06125756039914165,0.0620972843846184,0.03883218786751136,0.06123177205596223,0.0015960455250502263
ROCE %,-0.011974629234870037,-0.011705207892227582,0.01480631862857365,0.03738667442520749,-0.01287359530286554,0.005153306972288527,0.04835678053863775,0.010567847616349563,0.03485444912346854,0.03823891989256814,0.007565339156369047,0.014576015644202005,0.012691528476377355,0.06595445377403043,0.03662309998204689,0.001190266273759252,0.015180224497068188,0.016016284142057746,0.030794091855684963,0.02046262395495125,0.03027346458967435,0.030218434507015078,0.03385255441075286,0.06417508834004482,0.07283651135830996,0.026932150612249982,0.0235968544544636,0.025658018558607828,0.01214260270309893,0.03301705855220426,0.03388209946961663,0.01687499337160658,0.02828615092412063,0.07795279777487096,0.026108760893848743
ROIC %,-0.012682723878950142,-0.011740475519644175,-0.021484882451732704,-0.02435079304116134,-0.010727429318920997,-0.009308213883515257,0.025197016368240725,0.0022410110114124337,0.0037100599949218675,-0.00749576488249188,-0.008744133444502908,0.0003134661364621559,-0.01755052998987817,0.024706693972706795,0.023230299439459322,-0.004554270944977978,0.006065979700749803,0.006161257928590487,-0.017851985128976684,0.008173469917130778,-0.012820439517165036,-0.01744319162863587,-0.008841754460524447,0.027123377944389928,0.027766336365936457,0.006108212366284661,0.00463574411497831,0.009320444478873865,0.003585355354129189,0.005359864256136406,0.005668285377824513,0.00548776606456609,0.012959801529928525,0.02569448239883321,0.0224929494614507
WACC %,-0.013376543972029049,-0.012619783795564384,-0.03384150216496555,-0.022645608640789447,-0.02522859237604491,-0.023836827251316202,0.005343830447391285,-0.019967412620108066,-0.013200838591636569,-0.011981836601213307,-0.02071519581939926,-0.007263252078845194,-0.020953496293822173,0.004839637818695348,-0.01453666876734668,-0.02266158033797816,-0.005328589274152333,-0.006417413696474215,-0.01876858593307744,-0.004639156664429201,-0.017285110482261123,-0.005546115917804309,-0.0008005010375830646,0.004876512910543151,0.004876512910543151,-0.006728510948045804,0.010058161862045261,0.011926437720583351,0.010113123818516073,0.010301710983906533,0.012160788776192779,0.002371837648479819,-0.0043691191969350085,0.004568263296611981,-0.005291917707986309
Effective Interest Rate on Debt %,0.023972711797212228,0.017627625244268724,0.024913685816671065,0.04252277268918627,0.008397381157853752,0.01110714059014344,0.03338873222745223,0.08617586441507412,0.04176454886632413,0.03934533840312056,0.02403840848309847,0.0408786544745051,0.021546263159175946,0.03789257495252769,0.012155675350733763,0.007886689472622992,0.021591422652804313,0.033875706106210934,0.006534382159581199,0.0048640426521857185,0.04450103099719494,0.00778511980898851,0.017625273935215357,0.014040907698698922,0.015942480538393304,0.028535752093107436,0.0308052227190946,0.02796068982711303,0.014378512421953215,0.09233115241887571,0.09135623171919997,0.08536812610212346,0.016400357685605,0.01941954568998494,-0.007524796690148181
Gross Margin %,0.026947407277891786,0.013993418225427741,0.012935939530928661,0.018201438623008038,0.01095583195785815,0.02908190735575272,0.06413972576537826,0.03253287928950446,0.03301385103140209,0.048382698700584294,0.03125116619818077,0.062001664383218996,0.05507521345156209,0.0713751170396341,0.038875932734872075,0.030576345796511088,0.044418954420390296,0.054655109362721964,0.04842687258171888,0.055616609734483693,0.05795875462478777,0.03192889347416418,0.03476944886859201,0.04103818043083827,0.022772343586507836,0.062442584564977116,0.07174789938251644,0.07239378879957312,0.06647760184465266,0.07512905495667108,0.06322680784217671,0.07971120862996024,0.027874515020024575,0.05953130225490523,0.004287885973954388
Operating Margin %,0.08130925394548426,0.06587128209854562,0.06024167862987314,-0.011772714568174771,0.06730953259819446,0.0332281375294116,0.04294442699247013,0.04090817993785608,0.07114651509965306,0.08370291494114988,0.05866122975933749,0.07836673653170687,0.0642827009755091,0.08863933584223568,0.03246698640080237,0.03733123890245362,0.048147562246361256,0.059289294960704134,0.07720245558296863,0.08680245829123749,0.08677205050521002,0.05689388690953238,0.06590363333235781,0.02522018604475321,0.016099616760054305,0.07190727133974859,0.09485443885470769,0.06223666602919453,0.09418301704016722,0.05472297782685734,0.07545211874482544,0.08048948988094512,0.05599820622288584,0.06787336807497857,0.02464960373653718
Net Margin %,0.024820884259141307,0.03450101459098522,0.004580240422576107,-0.006742863619517139,0.0059012778766830785,0.017606534168172594,0.06058426830120755,0.0381907679673822,0.027353799917943143,0.048611934675964266,0.026644593239902082,0.06185263903480928,0.05390930044451088,0.07186364916209143,0.03175784932156896,0.02002388609481347,0.058311008718914696,0.06271903926039189,0.06494355301658226,0.05501919700060405,0.061826195469221225,0.03619962278693482,0.035997053501042486,0.035207496694528884,0.026870171555082138,0.04958149882977799,0.0669985704495533,0.06489585553126541,0.06523651041304748,0.07271093650168205,0.06467776016657646,0.06362722383343289,0.028264318110752598,0.0793099743129218,0.019363782406679318
EBITDA Margin %,0.0368049474517863,0.02329529919843231,0.014748113085925536,0.02924793535189518,0.014736326569413606,0.024821303086562482,0.06818957809403547,0.03289737324295007,0.028437215535736207,0.055409612653395376,0.03238816809438041,0.06648174678417823,0.05066536708826244,0.07651653774735069,0.02667689032315062,0.021296867008096337,0.04307218230206801,0.046708675760024396,0.051196510301337365,0.05291029921840221,0.06389212355377483,0.037350591519504886,0.04260383677078362,0.020608029608927738,0.025541104092176935,0.05116639565825088,0.06758111452560642,0.06075762695144987,0.0669156115518952,0.06090377605343242,0.049670492351991405,0.07959308500842283,0.030926815194528282,0.07887308227369229,0.020648328476102755
FCF Margin %,0.030316229850747146,0.012276039138030685,0.0275730661291365,0.061397689164846704,0.004189868334738082,-0.010313193488481151,0.00046727624838215466,0.041345885404278,0.015488150648884563,0.033694457626957955,0.027411670688631175,0.029633821388419496,0.043586544950482864,0.0296673930669441,0.07922798035385124,0.03843144206834483,0.017305150870466825,0.021775462950267173,-0.002007224502167962,-0.001443600645885105,0.014179326260444141,0.027946427404299947,0.028538068460251743,0.051171986904929335,0.06398250179721456,0.02856157718619315,0.04504081985914699,0.051442473209305166,0.040296313483927045,0.016676990630563424,0.017455321875291075,0.01939643115071695,0.037127714330594294,0.03891002294870057,0.057312292988416794
Debt-to-Equity,0.012064454787049865,0.019345634430590473,0.03376818466708915,0.02628104076511348,0.015502348094530827,0.008613019700235012,0.09313700658073362,0.08490998052237111,0.05203150822173642,0.048409833856894326,0.01686190632387082,0.041652228168446055,-0.009535438783983986,0.047229159202363744,0.08312082016261652,0.021773206465177095,0.028942716151518097,0.03352994791609963,0.05635966070080409,0.0585931418689156,0.0367458712663686,0.08506625906081641,0.05892617670284459,0.11398933783358622,0.06174349551885948,0.06417487401798297,0.07224735214456174,0.030025598822448173,0.07521693109683421,0.23973800579477614,0.2288443066377176,0.2520718149432542,0.045551877703490014,0.07528924794476832,0.08402058721096696
Equity-to-Asset,0.06483757078475008,0.06674212362164114,0.04778880067791793,0.031418835478243194,0.05198926067795588,0.07349927309182858,0.1449678779409295,0.04378267571508661,0.0579007202445214,0.15196180810311635,0.12573873641607355,0.0840593063417975,0.1251033994024731,0.19889501759874237,0.10277064698684461,0.10576273711018137,0.15695173827098982,0.2038092978772562,0.08329171905547485,0.08048992005268835,0.058598522442079755,0.15084816439178186,0.07663262531169389,0.1530247837134137,0.15463767515284466,0.0843874276480282,0.0813619484305572,0.14047973741869896,0.14743164594536298,0.08069618479419677,0.055196614499783865,0.07737820873679628,0.08681287339592618,0.13083414751660474,0.07722018070498061
Debt-to-Asset,0.016929565828572083,0.021265746935095805,0.030514956847819918,0.029784799596005666,0.015131723010576872,0.013408197646821166,0.10272271674864991,0.12063749008274882,0.052270086050964594,0.05388563549391946,0.00023694367089515918,0.04365815369673081,0.07778808329483648,0.16432286156359194,0.08755376076040262,0.040929315317604166,0.11102036208152327,0.15795853801778192,0.030908556892370893,0.027301094215423274,0.0337681530365303,0.08293561781773151,0.08925027290406198,0.1584058833737535,0.09001504992715842,0.08731300886304384,0.0931060568070281,0.08149729729588348,0.09443287363643758,0.1538505709636283,0.22757098478186924,0.15605220793460284,0.05171145826664621,0.12086542820745848,0.06045564014381832
Liabilities-to-Assets,0.10731000936599078,0.07998247676773239,0.10539393524326307,0.07895323108159591,0.1002778432844983,0.10937371457652012,0.1599375440855147,0.0468059493764965,0.0773064637742068,0.13449750147900966,0.1268583804718474,0.14022719902160277,0.15146143753018024,0.20525420566638847,0.13910210592413907,0.07146594183778288,0.19902390823487218,0.20834644157700252,0.061137112291911634,0.06305868577961773,0.1000083418117571,0.19392109577902977,0.0846224896511479,0.17594993252471794,0.09597200468634955,0.14895535951396996,0.19405999247956912,0.1342094417001715,0.1500176747204772,0.14286926183083412,0.11920337414763559,0.15092952749958935,0.08433480471720148,0.09602641564073962,0.07225197116734448
Gross-Profit-to-Asset %,0.07130991150836424,0.04192265210244572,0.03229024624147029,0.03797959929212539,0.00440228497747416,0.03934419112112269,0.057697710140713794,0.01689685986850932,0.048499729727662845,0.10525701286995601,0.09128647109566632,0.056337409649701145,0.09148874625154339,0.13234904864371327,0.09888305027364545,0.0882192886179233,0.13289536007074199,0.09063175000436291,0.04501868686169166,0.04367807657889454,0.04984669010459104,0.10336876794504699,0.037253933440413896,0.11727746960396168,0.10848238544997688,0.05245196602996459,0.056463178553429534,0.051299915234517,0.05383026736957392,0.037655733542397124,0.04740844237886847,0.027730205726979703,0.03310574382106977,0.06548443682315908,0.039130922178121266
Asset Turnover,0.07572421005459787,0.05282332078229312,0.06727450423943283,0.08864765248239748,0.07578156773585673,0.11000642601314982,0.14093517935274402,0.06809379462464393,0.056320989564275434,0.1739550018462597,0.12269020453058561,0.09679891946783079,0.14010485357214522,0.20173981242659259,0.1339336838942592,0.10666436318405348,0.18831620283261274,0.19692721479553763,0.056044860897849186,0.07362866885288254,0.0739340002863948,0.12567636838133583,0.12333321681757825,0.11917416624535353,0.09582834678967525,0.09419539471072645,0.12521576959859462,0.13545780582721711,0.14407052834248155,0.10021344156377782,0.08198052647241921,0.08806523296541922,0.09589893046486579,0.11189521399456613,0.08766909495730205
Dividend Payout Ratio,-0.004185609817339107,7.767483913749974e-05,0.011563841269401676,0.008948364182325325,0.008739747992051381,0.009088329636351321,0.0322215006018495,0.00861309246927483,0.04369715705973925,0.0769679360297637,0.015998685424960447,0.04499764218479433,0.009594256743705433,0.026545848488586783,0.0232390887679966,0.05942889326881973,0.017103182912201465,0.023121761376617568,0.008173632535064347,0.03286723426853027,0.008970589199596667,0.00013866479205819956,0.0077403647335081574,0.07234205424948635,0.04692887520492382,0.018834653196490202,0.020330050603854465,0.01802113122184765,0.006021728335371436,0.015049110316705052,0.025724578771223857,0.021314458755519454,0.025023411107169748,0.007596342689885017,0.020895042450969903
Days Sales Outstanding,0.0546233907468438,0.05044709819711653,0.03835682899026664,0.029727811909590708,0.046965975951802456,0.06978268049393217,0.06134583006736729,0.04061625706807078,0.047729549536963914,0.0695810293998807,0.06539997349982002,0.059421918939174694,0.07040369970074538,0.0808169823163041,0.056712686483526745,0.017659555587157514,0.09974911585684319,0.08313738051292884,0.08620827893338927,0.0664959129265141,0.07623514046003042,0.052892428656838554,0.06527062525963735,0.018945818307842078,0.014237932250257783,0.0875091411124564,0.09608974718006145,0.06982516475449489,0.09115437189870705,0.06314745927123594,0.06387196510447903,0.06633431250543409,0.06552963662676693,0.03297279650488742,0.010448574052426413
Days Payable,0.006719256790162109,0.0037259187389024335,-0.006667529730796581,-0.0013644187582452227,0.022180256714102953,0.025350907236277358,0.08034585251190343,0.10549255192737654,0.03081828892635426,0.029237279046541515,0.023951681680444037,0.04282201231950496,0.045037708818776834,0.051024313875616616,0.035331839763023905,0.009718360768055467,0.04399870322215959,0.04222177097619919,0.04581740716474421,0.060659984866634625,0.04918929919147468,0.01844775280959545,0.022509120607134638,0.0303525319535225,0.023316314277741276,0.05672264053889506,0.03821505570124767,0.046865581219053556,0.03742835273604588,0.13358287101887256,0.12567180591371283,0.13685948520177116,0.02059081245563527,0.05021253716782854,0.00796139441036361
