,"Cash Flows from/Used in Operating Activities, Direct","Net Cash Flow from Continuing Operating Activities, Direct","Cash Receipts from Operating Activities, Direct","Receipts from Customers, Direct","Receipts from Tax Refunds, Direct","Other Cash Receipts from Operating Activities, Direct","Cash Payments from Operating Activities, Direct","Payments to Suppliers for Goods and Services, Direct","Payments to Employees, Direct","Taxes Paid, Direct","Other Cash Payments from Operating Activities, Direct","Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Stock-Based Compensation, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Unrealized Gain/Loss on Financial Assets/Liabilities, Non-Cash Adjustment","Gain/Loss for Other Investment, Non-Cash Adjustment","Realized Gain/Loss on Disposal/Sale of Investment Properties, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment",Other Non-Cash Items,Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Deferred Assets/Liabilities,Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Other Investing Cash Flow,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,Cash Dividends and Interest Paid,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
Dividends per Share,0.03709013463830003,0.01802740107786294,0.16371406565235114,0.11601044941163417,0.05880853459409462,0.05870566285233485,0.03345698218512634,0.029151266794847513,0.07581982196124258,0.09291187999027711,0.01607953025312175,0.006440323468722872,0.01033873383160512,0.06983287752197341,0.0441520836671354,0.05910350752965772,0.07076731322296263,0.07442647010023974,0.0937116721076801,0.068278161528532,0.13516070405847988,0.03715599795494889,0.08696390073272899,0.041346270162605336,0.1190344710128135,0.029264308549857704,0.07700707387200387,0.06904840618085334,0.030829920380027694,0.04668009724468095,0.013168023551918352,0.06290256516838595,0.09895038841136705,0.10162738328629639,0.10777784437123968,0.1134194948007415,0.06501692758384796,0.0603054410795021,0.0606953035887873,0.05657514874341149,0.08808585429932783,0.06251824142202478,0.016178873912652197,0.05573511973255936,0.0464407676895593,0.12002386735244233,0.012005929249748765,0.10332600621468088,0.09175058002118379,0.10724088792341195,0.06038537072375913,0.05770596227096568,0.20083537968792764,0.022386410967673784,0.12463299378839612,0.016304690842473348,0.06759897972656477,0.1180972760466718,0.07052376583793281,0.00937715646726565
Book Value per Share,0.0035802501171910443,-0.00033030581839201163,0.08977927306960305,0.08176439510138168,0.017516379708489314,0.04862963944590476,0.02231576511317164,0.016908598246691654,-0.04602669869767057,-0.04458396833223317,-0.013373515631429803,0.0017147096946899991,-0.002629680681329645,0.014906660500300858,0.006586999592682991,0.011237528355171373,0.038630522483745336,0.043657283595530234,0.04756219837265522,0.04077380455386348,0.058029494554678665,0.0021882785614572315,0.004119629251830338,0.04612059971230311,0.008098654680564884,0.04051488762877424,0.03710016966560102,0.06534075437709219,0.06163174614007475,0.049201499191357315,0.053026307598207444,0.04752053605354044,0.07750183384152781,0.061619054574041744,-9.567101940801195e-05,-0.013576539773051243,0.012134800731639712,0.008253174096013786,0.00824486553299103,0.018050057644720407,0.05306270087047652,-0.03475553358683617,-0.05193785981376155,-0.016448274321092596,0.06051973458128438,0.07488604873946568,-0.04176218129187594,0.0891538310601987,0.056619541420961365,0.05849805174101162,-0.020392852955912734,-0.024956943054080125,-0.042246906634514574,-0.0019370855310908135,0.08689374134987866,-0.040194703051984394,0.01948968772859284,-0.005223129734174556,0.06580994953493402,-0.038716712425362204
Tangible Book per Share,0.0022881256621682423,-0.003197684087098589,0.09134724205735137,0.07733081832211475,0.02695475700574783,0.05408369304055791,0.023301780106088923,0.039544579073584926,-0.04302263528050267,-0.03988857754539462,-0.01830690501355023,-0.0004419924129033005,-0.0032383862010142033,0.01258106014523534,0.002425236234087128,0.017994318621349276,0.046715203069707466,0.054294477469677846,0.054892826512687024,0.019584938570559447,0.06262614292539065,0.011597693938009596,0.011329179345067993,0.04290569299382825,0.00469314119996382,0.029055108934012707,0.04090673945528403,0.06783009575087762,0.07597809504207162,0.04920778639758459,0.036930224719146434,0.026146149922816643,0.08785717025577157,0.08024357762478701,-0.007837386014671214,-0.008485950658072188,0.0198005297447001,0.03271321132226725,0.024929507066394956,0.020960173286481032,0.049283731172251426,-0.03992055600879067,-0.046714248816965065,-0.008275839950489201,0.05802053892199109,0.07596814320743273,-0.043167230741296476,0.08344279885653773,0.06819216244871076,0.061928197767540265,-0.01928573427646668,-0.02366161958578302,-0.040630784902295394,-0.0017827300278613996,0.07772090894909212,-0.0316844468565351,0.03468898833490763,-0.008413298692784229,0.05272009012757722,-0.03740063247593292
Total Debt per Share,0.007718904207473453,0.014361605103805096,0.10553662182067321,0.09595577519101461,0.022613505186100998,0.03222121391001085,-0.016548449058032218,0.0988772909365943,-0.02549768451907935,-0.024405790969620908,-0.023593734610688834,0.006994054281580242,0.0033736159080951763,0.02581012613799931,0.015408731251896417,0.049468755541182415,0.023070738943274764,0.018545846553260352,0.03404576045909194,0.034635750499107616,0.03394470347623901,0.08431374727330883,0.016961178400653417,0.025955025427196198,0.023429386968964044,0.022654205517686384,0.018357395334274114,0.053701930547267365,0.034077989607609764,0.05280564610957722,0.03250431886285557,0.04743764066720946,0.09258757412181975,0.08167853036870824,-0.01277208781962174,-0.006161643818926723,0.0856693972987112,0.03555450164409908,0.01049033965128092,0.036962162319417215,0.0804747735636103,-0.021341882083890252,-0.04494653973408514,0.05870311425621336,0.04768962306975201,0.047069330658197975,-0.02215079190065382,0.10292395100262436,0.08196485861015142,0.03891433443653924,-0.02999326145042758,-0.028829197044730706,0.030738581425837394,0.0036466833563723686,0.09219014984380595,-0.03468222758311276,0.027089995804978534,-0.002038956434148489,0.06713118409383713,-0.036911730877266645
Month End Stock Price,-0.03199572016061583,-0.02770355705262706,0.07410727892286195,0.04760132258702977,0.01101748876270229,0.016521925537979636,-0.06473013800107981,-0.062172273859972586,0.023409470114389735,0.01697576591265865,-0.03195346743812822,-0.026732604109090178,-0.02770355705262706,-0.0028968432945427327,-0.008292593991532048,0.013991462442218239,0.010923076269283002,0.01516717607312974,0.02876797706446267,0.007303067302925407,0.04912629423919092,0.016781471137488832,0.018431873797532177,0.01990345475982087,0.009778664262785182,0.001023442561530014,0.01991905116007396,0.02702854297909219,0.013904365079291017,0.010229861811489977,-0.008003332653695074,-0.014824817503122707,0.05487320627558044,0.08458374411015908,0.05203220092626326,0.050434351247520534,0.012592228798628246,0.008511667424679691,0.008014567522507073,0.01016913463062014,0.04220741176468413,0.025585739189562518,0.030393741633011985,0.047117900872103866,0.06278303139884685,0.04008026010915247,-0.0342278445007262,0.054228166516193284,0.05158813175306419,0.026581525384003497,0.05691756090276301,0.056494065753787265,-0.04641589611360941,-0.008227990462719062,0.0904033025767571,-0.05780362284459726,0.011308943152470377,0.05813882926253708,0.02539213380850744,-0.04475912237318191
ROE %,-0.027303568407996102,-0.027056758450326783,0.002565743265424785,0.005827050805550965,-0.010194902971261202,0.00832374067396818,-0.0757140261372738,0.011412747224659379,-0.053324106163088705,-0.0508512651258533,-0.03809957425958362,-0.025905901657960927,-0.02669746165017109,-0.010360464926129813,-0.00868621154687305,-0.013569737473315382,0.016477963870569858,0.018497968397756637,0.00926040297447074,-0.003940686323185823,0.013121076534310432,-0.012672870408315315,-0.007270366251319787,0.012997758998598334,-0.009396125455262189,0.0041189078520624135,-0.004193581620724212,0.022204921403990486,0.027833357840401723,0.04129110239929703,-0.003454577493068785,0.0019407150046875173,0.0027640313775167953,0.012378920558297741,0.00712384189099856,0.007947038449108575,-0.011241963199327774,-0.010513782155762347,-0.011286697428282071,-0.006278110338854824,0.022221110273029296,-0.04792974841946975,-0.049936081129233784,0.03380408982126242,0.014445904963991993,0.03074066552943751,-0.06046435087553916,0.01420218957694793,0.008996124107592643,0.00889693232844774,0.007661930244410512,0.006922809840853259,-0.06198429692700161,-0.036425471755524415,0.0015200523783707137,-0.04886077958213326,-0.011503532684825402,0.0037889243801479257,0.012519096122703846,-0.059957477208960566
ROE % Adjusted to Book Value,-0.011279188497097702,-0.02045737697566358,0.033780629639178314,0.07402969793874549,0.008726416626550269,0.01851809358234621,-0.06296666990997554,-0.05656230229125518,0.0686467972640037,0.04356814413122312,0.017390545603595844,-0.014601591906296656,-0.0257678577579731,-0.011058862160682612,0.013733329625716908,0.04958626693449043,0.03359073932244919,0.03594304919479899,0.05805232856477892,0.03332637874313207,0.05349143466484474,0.03707777451507879,0.03754574446990759,0.03692443403737704,0.021900366086000427,0.010540870682933518,0.04481098913076967,0.04721305868488081,0.04556514134201739,0.02967759239903331,0.008194483506349211,-0.0013383647141044664,0.04377800178332817,0.04903350447768445,0.06826943868513806,0.06219394394613752,0.00332879330892223,0.002794290664416238,0.0015505886735081662,0.006820157272983537,0.004470614823972917,0.01990071848922564,0.02511971896503574,0.04374027345752042,0.0274106760491022,0.03273021166170414,-0.03711393496839055,0.07737473809278816,0.047723098073575936,0.018371247526115814,0.06774022340699343,0.0693472470570453,-0.050441463100380966,-0.03727503778979282,0.04248345341696503,-0.04946384766545013,0.013307441416223257,0.06668560585795255,0.00926126133479949,-0.05985953741553375
ROA %,-0.03945311709449217,-0.04047358328660891,0.026138979118861292,0.02263910734140479,-0.008292609975286738,0.006787637675184043,-0.10014826533773823,-0.10750969403501273,-0.01594986588030639,-0.013738047635864451,-0.04675447266810608,-0.037949699648896995,-0.04007177667423607,-0.022775106190209594,-0.03142668615826958,-0.015423335084997717,-0.0026740516413815566,-0.0031227693663678146,0.002827041259573911,-0.03179606699190179,0.010787981061702845,-0.008051760081730284,-0.005719822017122022,0.010787981061702845,-0.011276798588910291,-0.017247514634520563,-0.008209017531449932,-0.009812548365991205,0.0029670941575517746,0.010463329999809857,-0.02177923257443952,-0.01852979489151627,0.018211132649204955,0.019763936509809402,0.027589149986551733,0.028475026630704336,-0.01083624906464006,-0.012310095272795224,-0.008241086293018951,-0.007951963778840412,0.003732724820640849,-0.014209099489992178,-0.014073084040783921,0.00781041474425944,0.005246584216323472,0.018768881757988416,-0.04637234293397773,0.02424690789404983,0.016594995145243926,0.006989111669608182,0.028675794095103062,0.028976787273831572,-0.06530480887669365,-0.029286457060452842,0.01681420947261505,-0.060080995520138625,-0.013363437348200977,0.02607128471854041,-0.010162731348116565,-0.05982484272380658
Return-on-Tangible-Equity,-0.01845615064288148,-0.00612766311144086,0.03950470755869877,0.04474569253958865,-0.0010428125002404972,0.011366970539834194,-0.06237073695600872,0.027344010779621578,-0.03831529127356568,-0.043306213900373536,-0.04035274825850343,0.0024165120760290563,-0.009166904198317023,0.008945633541440054,0.016239313948881166,0.001188717458199243,0.02493534100251523,0.03973949824226964,0.022849021604824157,0.04204016094746811,0.04432677807052733,-0.008640840666246187,0.0048088603590921725,0.09395686024741369,0.06166947052219119,0.07622870782320762,0.0163199456079051,0.10019482721231177,0.0960309480993034,0.07092824659869626,0.02096955764600279,0.021627442112723834,0.06025376935397501,0.051107799209936695,-0.020518134179254716,0.0056753452558879975,0.023071673247476873,0.00922340887866457,0.009062681458522213,0.07130029478714417,0.040545365594884794,0.029538739265766965,-0.04635666115223826,0.08190615550689283,0.07175963256185666,0.06938619683362209,-0.0527859714418285,0.04659695881856263,0.04701780134886252,0.0486583329023036,-0.03002303956972268,-0.01856554319484016,0.02328732401133205,-0.02119301817049709,0.04984616877951216,-0.046793870839084956,0.00520846464776282,-0.013966152770637195,0.03912594099415575,-0.03918674672586572
Return-on-Tangible-Asset,-0.016716933968912665,-0.03351623150753203,0.04667889523756627,0.050832226452314395,0.005078275482050865,0.0022246830528165487,-0.08293148088774425,-0.0852709820431414,0.017360366524358215,0.0239576955531486,-0.043667213872207775,-0.01379093441868377,-0.03964211211714542,-0.0121033743533147,-0.021234645285060093,0.003907298117012472,0.02733385070754958,0.07685330139500923,0.02879335495667132,0.05965528589083691,0.02600653747533897,0.0026262500676158384,0.00835708320570632,0.08570225729145543,0.07153072647067416,0.052710688188010994,0.008414232121639092,0.08401834570002889,0.06934579496085304,0.08715468697170003,0.05111657855407676,0.0005777423766777673,0.06062320566632487,0.05912934560712488,0.0544409876804925,0.12510456920271865,0.0013810820313101104,0.0007637779816639404,0.07591830062049945,0.09296334362533387,0.03392982533423791,0.1042702964935472,0.09882596287628811,0.038539667607520416,0.02622799240426391,0.03090557822960195,0.04239216139923087,0.12836809258296308,0.1278547813848323,0.08312135395582666,0.11887481980341913,0.040092477311416304,0.020262419444399587,0.049562889677324966,0.051208138115610105,-0.04131936514936936,0.013076679103583783,0.008828066431163979,0.01962311172182294,-0.04811773106087915
