,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,"Trade and Other Receivables, Current","Taxes Receivable, Current","Other Receivables, Current","Trade/Accounts Receivable, Current","Prepayments and Deposits, Current",Total Non-Current Assets,Net Mineral Property Interests and Exploration Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,Other Current Portion of LT Debt,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Notes Payables, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses
Dividends per Share,0.032649872091317936,0.0743630438574782,0.07488755274052959,0.07422011143090865,0.010797769784052546,0.1063538930485293,0.05922519245143854,0.06842996298041984,0.10978212813821066,0.0615869242928444,0.06941055636273684,0.07948364652390973,0.04466445690578194,0.05503810765584566,0.06710189051108974,0.09146104871365486,0.0879779874144666,0.04905223809361738,0.09271784021318254,0.08987253499508528,0.0583519541435212,0.08768822846209216,0.08798295573513533,0.09593394990445833,0.10225891759786022,0.07632932019952327,0.12620698486690282,0.08580415031261607,0.10543359214306913,0.1078229219409647,0.08759132655327989,0.047149699446948246
Book Value per Share,0.05715126713845909,0.0396805991933332,0.04950801178473867,0.049383470766627274,0.017646724304708712,0.06352983451251061,0.056576416969840226,0.05823107507632335,0.06664697145089567,0.05272769145379281,0.046505247230966905,0.04850639367535286,0.03913631294682054,0.05029255127339746,0.03851456167029856,0.056429459992044496,0.07104046982845037,0.07163046719335714,0.05466930767566197,0.055661829464761794,0.05660510964206796,0.0598974971413855,0.07271589747168379,0.05646126954976557,0.05735103612050379,0.05358784305906723,0.06020118778400033,0.06987188551526272,0.07066871618255971,0.05765904321876464,0.06024237004655103,0.06354220222433156
Tangible Book per Share,0.05773756672890141,0.037846673834535466,0.031331336360635426,0.024650298357185133,0.0022436207858255617,0.06455340138783734,0.04046088463125625,0.04455899141468835,0.05839030695594232,0.034503455213223705,0.02440475865018801,0.03204553595099411,0.018234485896704913,0.049139878967788826,0.019885048723992913,0.055139469820177,0.05921818817164457,0.06078114885066975,0.05850645277730753,0.060252693509398075,0.05507572395571688,0.052704101294283594,0.05923063273947664,0.055139469820177,0.05999537521277605,0.05765892893059125,0.08583641391985133,0.07238225179535923,0.07306911995401459,0.062940734673404,0.06606481001950248,0.061513712060221284
Total Debt per Share,0.13538200530321048,0.18500100473297373,0.05187830252393997,0.048107032363127966,0.012785551986024874,0.07370122829218827,0.04580935517562072,0.053166471853597325,0.07420820195139498,0.10064606727313245,0.14868122111967877,0.04699849147971799,0.13824656943060468,0.13342646239026998,0.10235995373883745,0.16148226224140133,0.16672313080668785,0.15067644216852327,0.32843513965724447,0.17155904652811182,0.20117499858561064,0.1662352500741547,0.1778663478378367,0.17454717233136605,0.09976748270477064,0.13905581991925572,0.03138993720452338,0.05398425705926053,0.06902364477645619,0.026229013591915613,0.09066279332134652,0.1147064715979697
Month End Stock Price,0.02081325071677589,0.05245723522761504,0.0156459590984089,-0.014297484522182316,-0.02158136688741197,0.0389006891361785,0.014912429935341621,0.011230163764069333,0.05003242285084934,0.008741528172400748,0.005326934095126356,0.008148833679914286,-0.0016255077102417556,0.026961283771878616,0.008309006532279898,0.06644306815341869,0.07081046560688693,0.06525187995340055,0.06509855168906702,0.071563488968,0.07135812878609508,0.06682371153447907,0.0700908858950626,0.06830570523837712,0.07222142858619082,0.012531422825535658,0.03592797158258937,0.024999124426695225,0.05949713880021709,0.08924952317103432,0.027115380862647063,0.03705876417544582
ROE %,0.03365730974310054,0.047042086430297586,-0.00221077059444094,-0.0037914869392027583,-0.007474314417271627,0.04548216205470423,0.0072393430708491465,0.002241083025813293,0.04629608510580178,0.007036530314061123,-0.003542413276282811,-0.0037404535638322703,-0.0008137896963649857,0.03833343797652077,-0.004038505730172487,0.0570047607391032,0.05855704984386044,0.05758803450627839,0.055449595435807277,0.05059108477733573,0.055672431050793815,0.057230505490789556,0.05881605666810883,0.07207312234174712,0.056578503944614875,0.0953326688964713,0.028885283168725438,0.03323393874472787,0.03533030791862351,0.042477614054625,-0.0014335489277420435,0.03927553354023525
ROE % Adjusted to Book Value,-0.0002725360091043532,0.03908528133544188,0.009969415485734255,0.007116149103195858,-0.02394369540722242,0.039610665453891525,0.007063528371617912,0.005345982231719591,0.037476120878704604,0.006846349296329089,-0.0006726529613648017,0.003303399043531702,0.006276082330387176,0.021139371198103128,-0.003377132085458159,0.05241172790879205,0.05717960194447722,0.05162979498066981,0.05583617092634363,0.04247849631809419,0.0562050561216169,0.0572055727534235,0.0560264290609779,0.04594704751098507,0.05466698130685133,-0.01218665574012288,0.022426746899493893,0.01857988231098247,0.017719464437177125,0.012783240867056253,0.02931979117303566,0.0316679288270868
ROA %,-0.009804206784896267,0.030303884894320704,-0.021424710590276518,-0.024169933237345936,-0.0013383396997118254,0.006708075551614942,-0.019259899279661992,-0.01887575501227899,0.014709838392050638,-0.014119612103580936,-0.027661530920521548,-0.025087328877388113,-0.02392652102189366,-0.0008880468347108213,-0.027523353457818825,0.03929744892936392,0.039466783837864367,0.036024222211075735,0.03479925333952773,0.03418149050760889,0.033478448816354776,0.03823585820919988,0.038170220612933646,0.042944254394887985,0.038914302363463,0.06403201070587691,-0.004390609812073679,0.004948813031397627,0.009735283411006006,0.012604552891124488,-0.0019801112140775644,0.0017052855588516537
Return-on-Tangible-Equity,0.04785637601901217,0.06311293850698378,0.09894404451733027,0.03457991521115785,-0.004288123659326486,0.06387795360589787,0.033201161557796004,0.04541203197507067,0.06281982944373225,0.019731710847086685,0.041650783517099395,0.026198101834351156,0.017357273409524646,0.0611748252587032,0.01221102044769652,0.08226569542224822,0.08232126742259835,0.0767135746928426,0.08169109218575002,0.0825470525990311,0.08683274409329889,0.08022869919094103,0.07504631795497375,0.07463213348482733,0.09128555614884135,0.1351672266531949,0.06308944855515461,0.04190786948436657,0.034725324712143374,0.03570934032216055,0.014925943487374515,0.045627592098078464
Return-on-Tangible-Asset,0.09613829667069969,0.15357816581561276,0.0628022315606319,-0.0027974339136753327,-0.024361041037662807,0.05086533361488406,0.008330231447049858,0.017266621527783643,0.11648645254320297,0.0145443249674826,0.0956809632529268,0.013151818975534335,-0.004480541882147406,0.02802357838998786,-0.0032696758406195628,0.052214995181982624,0.060117804249704185,0.06193531833491009,0.06498174658102054,0.06053723220916455,0.05949917302674669,0.05480401931289497,0.06996162833318874,0.04484540999389168,0.07000495256966069,0.008102709236260153,0.01273940573503159,0.008224537866076569,0.004084638897057292,0.012854012286568886,0.019206160998357952,0.031405867520223674
ROC (Joel Greenblatt) %,0.033171573467978575,0.01943128748478545,0.026849751219324893,0.041734441666084074,0.0173523660817294,0.04053521495436808,0.023939453082494518,0.025342987976447236,0.04265943643717469,0.016831389104767665,0.05020415364458965,0.04833678839556134,0.045195992639792695,0.03159039642937989,0.04143651673566837,0.029805894890661724,0.03102582001882629,0.03244971158288364,0.03126480003566847,0.030506946118484285,0.035748235092729015,0.031862775783464845,0.03095361943129912,0.016912896774324292,0.03397172238555048,0.03209788010331513,0.010173376661579987,0.023427408264154778,0.04476270280043733,0.03852868460214787,0.021920419014138028,0.04065134264531521
ROCE %,0.0434246966250195,0.03507682147852725,0.013053234353495704,0.009238325121415099,0.029859771851665173,0.042901704429745946,0.035969325188527045,0.03590477083568182,0.03852736128393061,0.02426105378574265,0.011201801643124882,0.0112459494835094,0.011604528560635895,0.02878326561066923,0.007592373091096822,0.050515005354031965,0.053889194692537945,0.034302552986971276,0.0607372699969665,0.03656139786585613,0.04523330798194306,0.05092044536346249,0.05423256334919701,0.05541938605250713,0.051324399968618234,0.10024992312998755,0.03896903835652788,0.04188639310592726,0.05691155007341131,0.05597430237626061,-0.007136955143257308,0.02728324888739744
ROIC %,0.005359385597914273,0.03481263939493423,-0.02478633665287836,-0.02478633665287836,0.000748145856014697,0.027149369677106936,-0.01427745411307184,-0.017821033198718035,0.03204739497521226,-0.013218168501449653,-0.021285593470709713,-0.022904433058347606,-0.023920748000178658,0.01935369255864513,-0.02411374302522109,0.04505054936953192,0.04516401166181011,0.04405380374035731,0.045798667393150326,0.04412879739939664,0.04405380374035731,0.045990129729266686,0.04610359202154487,0.048399241323583184,0.04572451641711698,0.04706129047784069,0.002333569600306206,0.009988927124312113,0.014073111477160243,0.020545704971935613,0.004497657354101083,0.02149728559710091
WACC %,0.018091685665653973,-0.00927479896798667,-0.03257348059113452,-0.046836796345485966,0.003250870289782344,0.012087039521959542,-0.014215256605392572,-0.01587676308142185,0.03530293166716017,-0.024387234161256623,-0.021627093239630683,-0.03278672064705484,-0.01961907112654508,0.0036034114122192777,0.005816597332157757,-0.00154623175988053,-0.0024453414950064887,-0.0003743659030026863,-0.0019730742207902134,-0.002181781554493092,-0.0033867270108880053,-0.00661025492155279,-0.007037423073560236,-0.0006192043480691,-0.0024453414950064887,0.015454664620238432,0.005970915274712468,0.01967529553962375,0.02466744001404022,0.029187149327187335,0.022952185349285885,0.021090894133550284
Effective Interest Rate on Debt %,0.015246546723743822,-0.0019246266967694104,0.00556183124291482,-0.001344413888816735,-0.01886336961410253,0.04142241173058562,0.006600784431032515,0.010095792458003607,0.050383849046166385,0.061582264040561004,-0.0026517625952725984,0.037926348364813275,-0.012756378502831928,0.02397316888619119,0.007867076143131762,0.0076046775067020456,0.1118431911312686,0.09884127566673043,0.10525487895888772,0.12268310469727826,0.007013514678536269,0.003547175416703769,0.11309744454986306,0.08403577758435511,0.008395508479726747,0.014626192342525794,0.03449924308736915,0.04566997792566633,0.02558512064239606,0.026278978718269196,0.017913077826195806,0.06303215545061584
Gross Margin %,0.05259914154360501,0.010393179289822793,0.010745901655645422,-0.04244324136865193,0.0012968362497779188,0.014941356596695715,0.0006477019458499579,-0.013077760904680985,0.016871258071073213,0.0024025082254815703,0.031826162521977015,0.03210559406890044,0.005913053177549767,0.003440054225839542,0.009984296913421817,0.03467198459002284,0.016105533976230886,0.014748664255654064,0.024887182466970966,0.024057081902775137,0.017829846767629696,0.024938370564105066,0.020774072848414357,0.02005730468710609,0.02280336070095031,0.10098561963667506,0.03986239083728616,0.06718564593437713,0.05495998415519796,0.0669603809324077,0.055587764919624756,0.0289982235758791
Operating Margin %,0.03115623040052937,-0.007479684287484661,0.024939833241534377,-0.014577494189872978,0.013262087857852814,0.03430494037477448,-0.00819922137247659,0.002935932120488058,0.02407505658459352,-0.0087739173791316,0.010918732990283207,0.05816154893990742,0.032568961816263294,0.013573849719589309,0.019762063394857105,0.035675644924411984,0.038414731553516865,0.023797810331273758,0.020534156634092797,0.01994503957471326,0.026539815287756677,0.03388932798955316,0.02333151451145687,0.027640533124179377,0.01002620132145625,0.02774132119225098,0.045431736418411035,0.06109048842338165,0.039586939420004436,0.05371906653769174,0.045222890465020746,0.036225652181330704
Net Margin %,0.05096337898627805,0.009928891835240823,0.011560220952391844,-0.008160243356374448,0.009047841499385452,0.018842521970424353,-0.008382722411876911,-0.009391176784550679,0.015909848394899503,-0.011844000136661113,0.038507357612613896,0.04593163430226701,0.008701082146898728,0.02169553866015096,0.006101312155263288,0.0396328158455932,0.022012224307818535,0.015155533853310798,0.020829182980841153,0.020829182980841153,0.02287891291491889,0.02411815494669691,0.02269186006309845,0.020357818474343255,0.010383539767455343,0.11792423318383066,0.044885793679282526,0.06965373901121534,0.05426517415171674,0.06145909716258471,0.04305310335052089,0.01194885088533524
EBITDA Margin %,0.03921292596199151,-0.0064406055205080415,0.014118264211852288,0.00736322556430667,0.009770975800985704,0.018682895928178837,-0.00809830227877758,-0.006303038167427399,0.009123367414600524,0.008826654208246935,0.008705603238725637,0.02331992692579346,0.03288783572191064,0.009208235959625864,0.011243340590686046,0.03540780183619059,0.025255615271482068,0.023807030779260697,0.020289511912722574,0.02011511183640675,0.0221470893556716,0.035657747647285146,0.025510344209813424,0.036191202313319765,0.020269668772743103,0.11829282645598169,0.04639910654939757,0.08130323465060041,0.06423115073470081,0.0568565024059852,0.05963356474979092,0.01803823574692811
FCF Margin %,0.019960423686409275,0.043617726293715395,0.04033156821070335,-0.026755179666607024,0.03957201944587826,0.042924808333825934,0.014184519702371999,0.013329834088293887,0.04804274041418242,0.01203007688340201,0.041195420640682275,0.03607938776466771,0.04061694029882633,0.04158368413752271,0.033398532405213475,0.07051186426919727,0.04800132552900238,0.053902928833695456,0.07055891790250018,0.07024758520598619,0.049303873195563015,0.0638119268846304,0.04800132552900238,0.05339371157550266,0.05114478490387921,0.013036138509517008,0.012007158630456968,0.028868727723054828,0.013495513329453552,0.023427046326264772,0.0448856476059427,0.047738170841838984
Debt-to-Equity,0.15132844571319987,0.1545374411160745,0.06974828690440102,0.10388066404340231,0.02374817930034622,0.06045379690700589,0.034091925926002145,0.033374485383364585,0.07223693380131592,0.0932465909037623,0.09922934342652119,0.03178262904281857,0.14525885296618707,0.1175531875530908,0.06577233417198494,0.13937341631785935,0.21910108957134009,0.131087962440277,0.3069602614902903,0.161252339565211,0.19438124331494278,0.14644769699515442,0.13025869475332202,0.36843432867165815,0.17709676736617,0.18323988388900897,0.06265278200797372,0.05257829868202391,0.09755480294589187,0.05408881051309564,0.09589691063135247,0.11194851483597293
Equity-to-Asset,0.20133137731753975,0.19941345604724064,0.14715392060449992,0.0968088105844645,0.034401116112591446,0.07262206291197587,0.04743496778139317,0.07223906942659832,0.06916539804917014,0.06997464197751184,0.1700145917034235,0.07759289711865847,0.09049287555283494,0.07922195444921758,0.03679408742099228,0.10376020083492624,0.16040096507808163,0.14722749573841676,0.07335302086435921,0.0968924006231826,0.11620273158565057,0.07749898793943848,0.15177003572698,0.08030285116600097,0.0997354210371702,0.19658731752815675,0.15833570346107437,0.06758025413785378,0.1735759289045208,0.14335442742163576,0.09388797871003371,0.07206266790312357
Debt-to-Asset,0.17160835850757986,0.22461280299729333,0.07327041483973827,0.05613732523275838,0.025691184801558995,0.07933064377873947,0.033578075176628704,0.0338310715140793,0.08625740707460794,0.12371261669663763,0.16540941098949302,0.06610952993724577,0.14665537796454878,0.1212316352506353,0.07967478510034562,0.12278559794453088,0.25917181977391546,0.12449434809072417,0.2269682348131022,0.16426357902278316,0.19866744445335227,0.12907940620263894,0.2562277573103246,0.36931912141348333,0.18087166916400668,0.08892825273140333,0.04444835034069259,0.04560393943803608,0.09625175589778402,0.10160830098384872,0.04999266860307442,0.13313276078336905
Liabilities-to-Assets,0.21613116524816547,0.20249143885693116,0.0925421873105411,0.08471768171427736,0.03273278297554267,0.10128221463312319,0.08724071174459161,0.07748525975558183,0.12300262621113128,0.14613009594543797,0.1744510832724599,0.09168115006761891,0.31297401474938563,0.2480334303217921,0.14352786484764057,0.36987478829505926,0.14668224637028415,0.15031390478050183,0.14521527414528757,0.15001461525915794,0.1776949101978373,0.3315481407102281,0.16603110379313113,0.15101594787629344,0.11039932233314546,0.11938687774937891,0.1170690868980119,0.1419365493523788,0.13365915988664287,0.0965675651450427,0.12918236906391212,0.17892859409665282
Gross-Profit-to-Asset %,0.12348895793628638,0.13640465430083135,0.03152328456550617,0.03629654000582638,0.012009462119978113,0.03923893451741748,0.028540843989273316,0.03224521227696071,0.04326123052065854,0.04284603355165163,0.13133216826308391,0.06512126932220358,0.04502896996335508,0.055886558535131386,0.007529086596491704,0.056256150597035995,0.07270075129094668,0.13131232788951855,0.12836702937943698,0.04562024171377726,0.07419309536031686,0.05340577996203272,0.06778576622944212,0.04564529491911121,0.048510747510400416,0.12192645445779621,0.12570933930075828,0.060255337473534384,0.08113574509307601,0.05485768153050584,0.08779457478381655,0.12385008935936247
Asset Turnover,0.19097331632013267,0.17071431050185912,0.14757783268620808,0.07690627431382738,0.023246769830057645,0.17602527494196263,0.08519717599118962,0.06830382775160639,0.18271682748730267,0.08751507271921394,0.1516228948392666,0.04745188551890196,0.04937270332161792,0.09357264310765061,0.06743028000755784,0.15576177178107461,0.1543031032100328,0.153584014735084,0.12479578282850896,0.10226975165884264,0.13472124795196505,0.15805294080778867,0.15454473576022928,0.10988829581133756,0.11259758409486943,0.10465508789115482,0.10494535270773378,0.09108432926363903,0.11718899233404108,0.12252873400156249,0.14641086969232128,0.15527384417588552
Dividend Payout Ratio,0.00936609345760171,0.009971543444551166,0.004817219477023708,0.011097140951291318,-0.019524075587942544,0.04172168415120156,0.004401033790339376,0.008614025723055486,0.053212510989245926,-0.0028558343227721127,0.003529668150631745,0.028642142768345306,-0.0009813329924991485,0.026022262489356005,0.0008403259641775653,0.019846486143067388,0.03693241143685942,0.008451732990801757,0.015566000761263837,0.02044920903088274,0.023069283357854208,0.01947107719786222,0.03661442949717175,0.019667188116535752,0.04233997174367525,0.05487146540159381,0.0806367806943865,0.03172992765866336,0.01854580454400534,0.012616267809838547,0.07399925828415714,0.023225319640889152
Days Sales Outstanding,0.029449313071601767,0.009028173745272547,-0.008616048264659162,-0.0067889191004011,0.01672045639580238,0.03255839583194375,0.004929878058709712,-0.003188143670192744,0.023858714264688816,-0.0011949882689509712,0.030228736903799923,-0.012949107520887014,0.025364390074979558,0.011874404503152204,0.045513493906046004,0.026072548621324472,0.018399429541091705,0.04369364171867629,0.027961227496534995,0.026798299579380725,0.02326563078224734,0.02051998428941191,0.01813294113248953,0.03756973012110551,0.02873587340923032,0.03463488009294944,0.006087380644472072,0.022685680229594076,0.017364384294523787,0.049895668634332944,0.0756312078328158,0.017887031506463848
Days Payable,0.05464228494284591,0.008836203931285062,0.00899628524309863,0.027698175748237398,0.0041404630088586,0.03384407667571166,0.02827488112564164,0.006294797602399947,0.02226333983778688,0.06602147752308267,0.01046611701475521,-0.03237411527374038,0.030783340888921023,0.0028100342778642163,0.12135122074439597,0.03339128035191763,0.024217959201865476,0.015439554938375424,0.011366783603395214,0.022065388723121256,0.019488831279056908,0.02487319335738811,0.02487319335738811,0.0170797615082336,0.1258182115219363,0.05341306990691674,0.03215734510378914,0.06236454419898107,0.04012908836042674,0.027114265274047138,0.029718298761331446,0.008997392034121142
Days Inventory,0.021303180773191394,0.006873767856505224,0.024944528642570924,0.0009208395211939323,-0.021918946875358385,0.03468106346201554,0.003001357988578623,-0.0018956528666040685,0.041332294905692776,0.0010817084675684401,0.010071195477706473,-0.013455646490514792,0.01135378839996724,0.015744587501898666,0.007416569478385194,0.01296650274390249,0.014440935468708619,0.01234270193640223,0.018944880261955174,0.018610264492467107,0.01875707802460532,0.023170564391278486,-0.0005596895683393642,0.020289216667608016,0.02249957702770013,0.025443079074994563,0.01212921660823689,0.034488789097966516,0.0332717582976559,0.03763680169681119,0.018114951365629108,0.027135177758960523
Cash Conversion Cycle,0.035029972499385616,0.006803955853705663,0.1232837166470984,0.13238439801177124,0.4384353805121566,0.08361147807626355,0.0034575320419296092,0.00495184136473411,0.08552922368860552,-0.006407595296805941,0.030403979547198905,0.03567207012718456,0.01312368628381503,0.003636877503890062,0.01213142366473291,0.019949469876869477,0.03201680610011805,0.035204620369003216,0.040941172846540835,0.037634078607784796,0.019190494738505225,0.02280125185968888,0.025576396269002204,0.02166942067820357,0.0898315560359659,0.019523083801997177,0.04119905627651077,0.06762158390001255,0.039394735165238615,0.04384893913441502,0.04411481649923303,0.014472794232985699
Inventory Turnover,0.05760516569650364,0.027117896113342036,0.03395346130382312,0.036684819233583084,0.002148930235919501,0.034575125680817144,0.012845689743553075,0.002688800353395364,0.09239302562723006,-0.004790503757703049,0.051509765677365066,0.035743096851296924,0.02399466500103117,0.011125265443296105,0.039531949645044015,0.014886847191573108,0.04069035884515232,0.03550924558033892,0.015552670884607123,0.016114976505817554,0.03104706759586067,0.020058099857227008,0.02909291833392152,0.017263201731361904,0.031479105627850903,0.0495771078848024,0.055545633176200856,0.05926141115985841,0.0619637502949628,0.05601618904937229,0.10695672593957989,0.01675158719011496
COGS-to-Revenue,0.043410737089669846,0.0361351358870143,0.005150288043927602,0.017376200596401357,-0.005018878521300703,0.06229996264703891,0.025342399334911864,0.02539233574598951,0.06510115134746983,0.031772946516895766,0.02028291414076605,0.0005723457300346798,0.010413197620563,0.056565101843628486,0.0669896662245507,0.03106049754074576,0.03707948672253693,0.01844399275567898,0.031168944177543796,0.03129930144273135,0.041555738045583414,0.03948297361602515,0.025602814779178487,0.03394978142784527,0.04021384375568514,0.04885470237721713,0.02983582595883,0.03260090358845639,0.058306752504734626,0.06166171466027574,0.020975992645106863,0.06203413233240366
