,"Cash Flows from/Used in Operating Activities, Direct","Net Cash Flow from Continuing Operating Activities, Direct","Cash Receipts from Operating Activities, Direct","Receipts from Customers, Direct","Receipts from Tax Refunds, Direct","Other Cash Receipts from Operating Activities, Direct","Cash Payments from Operating Activities, Direct","Payments to Suppliers for Goods and Services, Direct","Payments to Employees, Direct","Taxes Paid, Direct","Other Cash Payments from Operating Activities, Direct","Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Gain/Loss for Other Investment, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment",Other Non-Cash Items,Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Deferred Assets/Liabilities,Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,Cash Dividends and Interest Paid,Cash Dividends Paid to Non-Controlling/Minority Interests,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
Net Income (Continuing Operations),0.1117470492715476,0.2516946646489112,0.09146245280705294,-0.005532836712534203,0.012684585263716231,0.12025171080930618,0.14280569984655475,0.033570251097511696,-0.018804623904737687,-0.008475422505528029,0.09631074309769923,0.10186721366441276,0.2548783282838426,0.10492080017884955,0.09600568601755981,0.021436470890530995,0.022333108471511237,0.0290442996288438,0.04389383750936906,0.023523319162979107,0.14408490109297664,0.10015956274111708,0.012342531803852298,0.09010668265099558,0.03223234043574771,-0.0035889279919012478,0.01568746783632443,0.00036157189138694406,0.05588592618008554,0.0628090858551579,0.034007072226390454,-0.014212803330710438,-0.006655128062338331,0.05900850716953243,0.05077081294215292,0.04487920688624566,0.03589315599954874,0.09609348289323738,0.09024909733063961,0.10308666581432119,0.027715005200851024,0.05078095694041955,0.057205937000635934,0.1110832659805,0.02306854352079212,0.03139381617897525,0.11960183046509545,0.13133212448584472,0.037995028394662185,0.019132021095482506,0.06761625784792472,0.014898864311676724,-0.0070394990051323575,0.031369804753846695,0.08270088520650797,0.0015076233723166658,0.03508394225827583,-7.89900115264414e-05,0.029177035380025657,0.030751995454106493,0.03176720395759247
Net Income (Discontinued Operations),0.12087215419476138,0.12038037368185037,0.19639214799784943,0.10478743843119014,0.009253060523504303,0.06735151386312689,0.11231948436795883,-0.015703747202442074,0.07983344966500378,0.10951236275049436,0.1941012908025122,0.11603951796569183,0.08702812788448513,0.1946767274668025,0.20276924588783468,-0.024717552713315716,-0.016995400254167296,-0.010427228830506424,0.009796215620720673,0.004252615671810368,0.1008493516956704,0.2013949346472707,0.09087868248360437,0.08694211944244927,0.08613573098884712,0.0884997776612587,0.013987298404660644,0.02402318177102712,0.04805124710065986,0.02059883425111598,-0.01931837950645291,0.06986487051904108,0.0520508072999416,0.10025688227886456,0.025250461790704202,0.02143804032439513,0.00040553133052595414,0.2740522991735176,0.06554856461975608,0.05732869300613066,0.103281579236178,0.037087661533692466,0.03394329767129343,0.04068048425212792,-0.01837713733928536,0.008404751615395674,-0.011118901143922975,0.006707843626236341,0.09250964016900717,0.0378764614453448,-0.003175327380350481,0.1113874933548317,0.08112850911091489,0.024716401401904953,0.11716467268073472,0.09431173614970835,0.12176610460378066,-0.014612084356454318,0.07700345494159143,0.02448863322322531,-0.027239962572522976
  Other Income (Minority Interest),0.06203223782385213,0.060088629273308505,0.05997754951970975,0.09175880159108497,0.060335727342689896,0.063338006167429,0.020088523427951678,0.05448860464831947,0.0637818458133209,0.051556354674812524,0.08183224880216536,0.06958735287884749,0.05772565444290142,0.051969786843938034,0.15722367769350684,0.08204442213664799,0.02123491857967582,0.04203035740202188,0.02961556374120548,0.10776143382294986,0.16296438832049825,0.17851458181719332,0.17771762688449036,0.10402720006843998,0.05970665635985899,0.049152982738760696,0.05926257668676085,0.05321486084647591,0.10138067864311058,0.07319609525977243,0.10056859132042284,0.07475829126055902,0.05007861774365857,0.1494366353219352,0.10186614556928451,0.07343149720198117,0.0632728755457877,0.0826913342387918,0.0855222455799847,0.05300676808103033,0.056948909418282685,0.05563079918564275,0.07414988262722808,0.07341148598648736,0.151799934187434,0.05568915180261708,0.05535645487147279,0.06091991584301055,0.02813180283503039,0.029578352798332007,0.0720260052832895,0.06405948538004756,0.16211318846537542,0.13252171912948574,0.16209656599714922,0.0755835212437048,0.05963335441294633,0.02508814680722266,0.06493679563446687,0.08625176432184635,0.06394470268297904
Net Income,0.006375888863268547,0.08103439838067084,-0.0206457334280294,0.009591128892510379,0.008811953152003282,-0.007585255280617249,0.019100018526385557,0.024716439911700028,-0.012232555089289145,-0.01535083744588735,-0.019969134781438337,0.02723066227928459,0.07668661917968958,0.08578370690384624,0.09453876522489392,0.03783554514769819,-0.008808236141154446,-0.009301533852449601,0.003828245752464774,0.001982629253880624,0.14226915496644482,0.06926645641609401,0.004506260608972256,0.06873765264940153,0.009209448511726078,-0.01257178479060307,0.005620205730251812,-0.015008945415132886,0.05769179537578698,0.015403630158391038,0.04682603071902968,-0.00186796529920455,-0.0045532569092428315,0.11832682080772003,0.05362303367703645,0.05296968923863343,0.03723927365052671,0.031716797866781804,0.023861855906473776,0.004100307524542981,0.03550160197254328,0.03611968841714087,0.018923329102155145,0.12444468792501373,0.030017018041113102,0.040908920555446565,0.022942459977468726,0.037494181267443846,0.06617655345376647,-0.01110338231959308,0.03150253004960017,0.01118673826916499,0.0014418257918174665,0.003828227802690304,-0.007139491803097697,8.313375744862985e-05,0.051388140060029265,0.010215029220294412,0.009141033460027745,-0.012300365293786912,0.04197375442431982
Net Margin %.1,-0.012823265591833027,-0.006084242465746551,-0.02192856677435921,-0.006596436384719852,0.015272768234061384,0.03997910987798933,0.08890087639143002,-0.02512553874638777,-0.030138165098821144,-0.0034085579927594332,-0.019746505262634495,-0.023732097185466434,-0.010666469990675902,0.011548107870703633,-0.0028991498658445898,0.0012438352650507196,0.03074542650666183,0.02861463786957474,0.033784108885596194,0.0020931734020865913,0.0057795986603742895,-0.0064519376403382785,-0.010804118912467364,0.03660426466851954,0.04208171793996783,0.03883369359235353,0.05184116646110051,0.05017445122414158,-0.004482453710387619,-0.012749723628879476,0.04635432111785048,-0.0035484091427804548,-0.007833729939229763,0.03264121719848092,0.03751475342911728,0.036382706491853885,0.04228939864250337,0.04060422518554812,0.035529543462235524,0.025889176263800953,0.09490750949769969,0.06670930545686325,0.01018647465646618,-0.02696633829779696,0.08206231256360919,0.1321521938686969,0.0016406601121677546,-0.00905285666851431,0.06777447540995654,0.064633378643262,-0.002027652230353746,0.004473427226558227,0.004164600832427721,0.05241200542376824,0.03463939484249762,-0.009620362736546676,0.00859808667078319,0.02232718349269,0.003072122566325138,-0.009843133835085498,-0.018178222024579534
Preferred Dividends,-0.012102679665968577,-0.016077287818530767,0.08979108593732485,0.11584916197381448,0.014306714354850248,0.001772165449956174,0.006283590324747657,0.010658620800235061,0.07747823979771758,0.13076567366603706,0.08397757386731629,0.014002526647004087,-0.007556194620211726,0.07786037071152421,0.11765906635377298,-0.05079279716103375,-0.03338135723409365,-0.04061990031574813,-0.016766196554985555,-0.0381933329308584,0.03076322955256142,0.07446239352248858,0.11750281961214647,0.027397302872624235,0.008304488318751777,0.005919813111476521,-0.0014727582482153949,0.01209589342504415,0.040441055981512174,-0.04985428685689357,-0.01623068821805355,0.04632798896727461,0.025833644874709655,0.021659930536876437,0.03009691202756772,0.033437010587330396,0.042906681928177134,0.14999322520576655,-0.011944283773593157,-0.05715407528901101,-0.0029307979493432106,0.010988167413674966,0.008772651285357903,-0.03928010812722209,0.0004326014665047787,0.01619769918066714,-0.016480902077429683,-0.03563494532506547,0.04154337591362741,0.02411078123473135,-0.006213815116569328,0.11163752466169496,0.3381924949905737,0.04033786822330558,0.1274685135948474,0.06792418523846899,0.11026244029940928,-0.006879831506284059,0.029832013507299294,0.00048379916881822983,-0.059544145575364554
EPS (Basic),-0.029516213856239915,-0.03044977124502965,-0.01766905040725251,0.06292306400817478,0.10363022511620938,0.029650900940400498,0.04055232377638023,0.013000049093379177,0.028083500910350452,0.041493758376437775,-0.023148820654286098,-0.030021754892272635,-0.03055277808453867,-0.0075489508442583095,-0.00099466499269496,0.03545961876719371,0.03920787403430302,0.0221468817598788,0.0453500116611398,0.08168932699524903,0.009575075038110125,-0.005239249497751633,-0.005384953978367763,0.027713016519777096,0.07553663213130617,0.03215514491134101,0.047060732635196695,0.03542321672516026,0.11260244402859741,0.018446570509545082,0.028400517021282875,-0.005908254902783669,-0.018261950879538164,0.052055718028991824,0.02818757034628674,0.013900458063416098,0.01921522356961301,0.05768336964827083,0.0719147397942648,0.06955574711270786,0.12562791696074274,0.08303236320139336,0.05022843946323093,-0.05442304740057451,0.0244332426943787,0.09568528708106104,-0.004328814813853613,-0.007673287820877866,0.06394113410237494,0.042523276686292195,-0.023980142854237076,-0.00861357851643669,0.0066239070908157005,0.023146610643053383,0.05531764659471977,0.025175223400861663,-0.02076956536289602,0.019373971807677096,0.02233674690615864,0.05641305335768023,-0.052433215579125725
EPS (Diluted),-0.024751645408313712,-0.030659159301823724,-0.01766905040725251,0.056844582521993835,0.10655260551416162,0.027208810069595333,0.04055232377638023,-0.010164250781416438,0.02622383298422703,0.04385611495615438,-0.023148820654286098,-0.030021754892272635,-0.03044977124502965,0.0029277941648323414,0.0007855110305288572,0.03949011281342245,0.055095051909313,0.05626338658932916,0.10288551344617897,0.07258570883286719,0.0015792555431523349,-0.001704280520360935,-0.005448637554545705,0.038622604446642145,0.07963965087999396,0.03637313497790509,0.049159302411535294,0.037886641621676445,0.11229900816260689,-0.0075121291937718885,0.0644484333580062,-0.0013210231382021452,-0.011169470017486409,0.10340863172820268,0.027029933335861893,0.027575830462426506,0.061650429008164365,0.047205468293950795,0.07405835254269777,0.0682266676135834,0.10350654647360855,0.053783508752673424,0.05176213755295303,-0.05669386869366603,0.07840317855803915,0.154422396864644,-0.009211755376796377,-0.009002367320002307,0.0709739037757937,0.055166147173355565,0.017681453427000164,0.02062087683735621,0.041924796427094124,0.023731698719079857,0.0384124070112177,0.026685920027505007,-0.03128286399254419,0.026441818078169758,0.023264836965329636,0.041717412714570155,-0.04936120810111812
Shares Outstanding (Diluted Average),0.035101063388774216,0.0201303957002176,0.0074308300446193016,0.00800037438978617,0.03246179034758097,0.015108048408742965,0.03690857291926398,0.04163732698085329,-0.0114286845168375,0.016178550054006795,0.0048266533065082174,0.034353022850609774,0.020418011578341493,0.06556461504377392,0.008484421625390148,0.046130218426449134,-0.013713767031125753,-0.020577636662572726,-0.00839016621951075,-0.004299631762085065,0.0235212675136779,0.01196796768087945,0.007207180970835798,-0.02149920458123947,-0.01313564988151496,-0.02232856663227887,0.006191130902063427,-0.001178827064751413,-0.018984450594964546,0.017506197529682046,0.030234389006972107,0.0028947778857984444,-0.007349569082091764,0.044788052298646144,0.031518666932419004,0.023616983388559994,0.035484600889074305,0.038189921010923465,0.022392829288575753,0.007611573489721463,0.041406953994247944,0.014419824783485625,0.03300820094715485,0.03180772783502682,0.005330127364821359,0.10341953040119523,0.05476689381847383,0.04552250613756248,0.0015981497158839234,-0.00033208284409609514,0.0005055051130403235,0.03425352943872842,0.10926339006400783,-0.004913280087344912,0.04024594772473304,0.020786742108367468,0.01894376772584684,0.020520501859054976,0.05597599509697069,-0.005117438477648006,0.03028142238666896
EBIT,-0.03415666038500421,-0.03415666038500421,-0.03419067974698401,-0.002553018153768334,-0.01111710263817305,-0.033475227010943964,-0.01350794171317508,0.019781801268438117,-0.03463161090735678,-0.0166301986587659,-0.03453857904809521,-0.03411486549485393,-0.03415666038500421,-0.01286080568180218,-0.017056514245046,0.0013711113654012366,-0.028763949812579015,-0.03608000030388141,-0.03568190578692034,-0.005812518915904959,-0.05108152062879999,-0.011640197530186079,-0.011640197530186079,-0.0424163655795116,-0.03233642856767016,-0.044852946500019766,-0.023235064999387815,-0.02933273615594764,0.02508601435353789,-0.029523570360488628,0.028930621551440043,-0.029957046463111155,-0.03868101544545821,-0.05080823761672488,-0.052274462610607426,-0.051953573629123236,0.0038185794732651644,-0.00993002405242265,-0.010218435333409348,-0.010967788826936564,0.03506900423206967,0.007667493995500865,0.0017509790159300034,0.0053915006790803315,-0.013086448252053082,0.013618688325318044,0.010521292506069596,0.009312169598719612,-0.009555444382784588,-0.015246962391911922,0.007254406632886966,-0.0189152069737085,-0.01579509168251163,-0.02999284044042582,-0.028337691012230215,-0.0014209185852374134,-0.002630671648529015,-0.03562912467964788,0.0019236730237348985,-0.04308357389481745,-0.004340964153205262
"Depreciation, Depletion and Amortization",0.010725819442934291,0.010271985522601342,-0.042730167519679924,-0.029242512781431272,0.03852675376750293,-0.0006087925095571022,0.010381846478615064,-0.0009345477743328157,-0.04807845375775725,-0.017100916896488454,-0.04194897947182819,0.010162646282678501,0.004144510879799741,-0.008014245133306631,-0.03572952974134923,-0.013425695732451125,0.5330858753608576,0.49674777903272305,0.26141671859993376,0.08103721000406096,0.045601111990488004,-0.034062208612384015,-0.019781334075969836,-0.045460676765015716,0.04183679379944898,0.04111472955516345,0.06743349083908041,0.07452034996622593,0.004777367661598284,-0.0013078419055726556,-0.018179155474829435,-0.012730227233831517,-0.027189023515867404,0.07259911243964391,0.058742329022273464,0.0282360506964178,0.049949945378839254,-0.017445566874092294,-0.02907420180562905,-0.030956971816927983,-0.01866095397184748,0.0063830272744389,0.06029729041516021,-0.00200349207878451,0.06788673719575394,-0.018963827113076034,-0.012816042253500946,-0.011561794890488992,-0.02170190520587499,-0.016575126914840456,0.005405508416335665,-0.020290994500013412,0.0025996193543645217,-0.010204298340170613,-0.010178968475416621,-0.004581306724133777,0.006876291268309825,-0.005171433402967173,0.0048486083914883755,0.012827840796832288,0.023736645078287086
EBITDA,-0.03443307203936179,-0.033942912087023956,-0.03064603806076118,-4.9263631396392546e-05,-0.010577952145930438,-0.034319519328146156,-0.01605240774623901,0.02492784226055976,-0.03140404396118367,-0.013362039238960488,-0.032575378557464243,-0.032740288482622365,-0.033942912087023956,-0.010287754309407657,-0.013574295288549986,0.0004673691668010909,-0.014861337430297961,-0.015097889907844374,-0.011191603258070615,-0.004561964467999879,-0.05039034845439365,-0.0134551077977909,-0.01345920700943838,-0.03627295102793093,-0.0437145559622779,-0.04394667244898931,-0.018840990726159964,-0.026188249512134568,0.026124783456976067,-0.02325853849340152,0.025205119242801936,-0.012821221983288236,-0.023402034955594106,-0.028808227759762793,-0.034811868794067134,-0.05125081270960513,0.025151200107284336,-0.0028218988449706392,-0.008102229991500114,-0.008843077308022545,0.03842530686657209,0.00890943691732539,-0.013016229696949691,0.01125972761584584,-0.004918497363283072,0.016080178953240477,0.017522089909707838,0.01622721190664326,-0.010071126793703873,-0.008287630740139516,0.010901396720102697,-0.006050521327474108,-0.009143521635757141,-0.028989786434456453,-0.0070117858116781565,0.0018171393502273456,-0.006388395959433876,-0.030825455101977955,0.0025339438929927955,-0.019025012774521455,-0.002170480494990343
EBITDA Margin %.1,-0.014247974225272934,-0.020632946484515056,-0.012490897029036578,-0.001698091667136514,0.01107325739908022,0.04461647730644781,0.0937013788989156,-0.014305832508567163,-0.021222543478341786,0.002653265950283937,-0.01737372911786412,-0.014997832664662408,-0.01957135576435101,0.010149974529073982,-0.0011452398404822916,0.008204054925597736,0.030977663499668975,0.031284755605159184,0.037524454215014796,-0.009904152591589072,0.0012155149222935762,-0.008389231016961499,-0.011430322630884305,0.04456080966079302,0.04258236942682753,0.038712439782543864,0.053976904917190004,0.05050401587532411,0.0337356844336544,-0.009304237832022156,0.04998983582474942,-0.004847769338476785,-0.003994552463928631,0.03792301893271996,0.030245434392879866,0.03852454472882279,0.04092246131026659,0.041792216989014516,0.04013692638290752,0.02830905113878778,0.07980481633429333,0.044774230964655874,-0.012267076910404046,-0.018967479004224165,0.08265763047848648,0.12855391306781486,0.00850705136346459,-0.0023086524663699696,0.05670871719303159,0.05139738695771424,-0.0008985890120328708,0.016247732650887692,0.006466397736322837,0.0519649354587989,0.036227819356473505,-0.009364254947318549,-0.006345186566789871,0.007550418353879111,0.004763426501621365,-0.009202313695214785,-0.01704552259951687
  Cash And Cash Equivalents,0.08743570487632395,0.019690096038022357,0.07740358563196519,-0.0026127716653887565,0.030141892671554302,0.0802478501340789,0.11055328957976295,0.06304142642649267,0.004781108484704926,-0.006726277468814779,0.08150072040342646,0.03506054117697753,0.020516178089788808,0.11200710153403606,0.024560025146544026,0.14553025807483888,0.004815985695612289,0.006142192884685499,0.0188436536147787,0.03364922766188578,0.015822995915808095,0.03333400992946552,0.028584357417826674,0.0009632720008577811,0.0020316411419063645,0.013499370930786278,-0.0011567152823985355,0.019084179522171875,0.08909614971327784,0.017719270271480903,0.04359801314154432,0.036945639902098454,0.08797307074065691,0.07976163928225248,0.08013349602832119,0.05691721611567043,0.02184916521063922,0.1239190059186483,0.037112901772432094,0.01666333244688344,0.05920572321715959,0.05452020429794378,0.031090326446657414,0.03712940481099714,0.030421524104243286,0.06098030852918519,0.08812988356389594,0.07698313074406765,0.011333689232136665,0.013131007254409348,0.006817894532661196,0.03690631443808097,0.06803729278436278,0.0023460599397849263,0.1353525817065941,0.6449902871253996,0.2532592064530393,0.015687599678638316,0.6537966447385006,0.09908053810931006,0.09916849197512091
  Marketable Securities,0.09227032689215839,0.0881531346445755,0.08374698383131395,0.0805839261877547,0.00397459678411801,0.017146836002487793,0.02912965153106141,0.06132211027616167,0.06814152443739445,0.0851179148841745,0.08177500951644895,0.09716696544076764,0.08705795935375527,0.009601441928779285,0.09304300443821102,-0.026799325582659947,-0.018722155658824808,-0.00023056789911898336,-0.007448666631639037,0.06284521247603064,-0.0045070537165829575,-0.008024091852741558,0.006430560972579382,-0.015671320138569797,-0.01784313981118595,0.04879708683235111,0.06719072647308574,0.017221333047234527,0.015859872960217507,0.07633238512622942,0.003852684356705767,0.1117006378776665,0.1685176799247428,0.016143312802117428,0.03580780131426741,0.034510814659336614,0.09258722305745364,-0.001178950206905594,-0.04055166926125424,-0.040174473542812034,-0.010182785138640387,0.001913021620749019,0.03592013752311009,0.1543517281719493,0.04439091972600027,0.04789412146142968,-0.01627800133717456,-0.026006408746587138,0.011083974609589648,0.014418293099559653,-0.029419002629504875,0.08922118199750681,-0.005091278470882688,0.008219192036814444,0.020644040218411187,0.0002028764940367328,0.0666158317725415,-0.035216318437615864,-0.0012102253849259508,-0.0012085498683655066,0.05936395140023635
"Cash, Cash Equivalents, Marketable Securities",0.11056362474322544,0.046079968215046105,0.09819793500217801,-0.0012450273838633527,0.03602014083310631,0.09955890412356562,0.13212074311361435,0.05258403922533778,0.0006199026321747985,-0.007971079044719416,0.10335629453039127,0.06533217421378473,0.046079968215046105,0.1295468764618323,0.023617257211749176,0.1311904180989835,0.06968251386089842,0.06852742012629442,0.07583269179581024,0.08979757489980963,0.026097712386937772,0.02703732257133617,0.1011990100641272,0.0011917200769173712,0.025856110324304783,0.07800809430661539,0.06938783092568189,0.08550158093131233,0.07005346986184524,0.02432408681231863,0.021858112097477726,0.09789951374216829,0.10019824833686117,0.010312996658431314,0.057789104326939775,0.05928284796718307,0.05611901297253783,0.08646365083845967,0.08863842588987948,0.10558556222283774,0.05414093736042682,0.037244095753845186,0.028334870474790573,0.10016457509253825,0.08538668964517702,0.10329378270000009,0.14507551449355613,0.10245702539008499,0.007074646501946624,0.008299777346359949,0.006995996980403097,0.016785955068438864,0.1200526973449095,-0.0037204065244627513,0.09672057649274571,0.08778183667984166,0.07370453347323297,0.013700433180947652,0.12448543702764266,0.08470990790788409,0.11698906368124298
  Accounts Receivable,0.02763335701223748,-0.0032385794470530314,0.08527534012354987,0.09219750242903568,0.1118678550059561,0.09065475787066102,0.10108968800085699,0.04355069166800402,0.08953212649784843,0.018009011721655338,0.0744937274759651,-0.0037401822963760195,-0.002419638411519604,0.004616785046216222,0.00205568745044123,0.04993189264486393,-0.005730486541874379,-0.00788476201640991,-0.0021461084945905685,0.01411506613611858,0.001118679374671971,0.01353435178971669,0.010740254045291409,-0.022265954501517783,-0.03127771603771756,-0.02574594580626071,-0.020947184907054772,-0.006398289746433597,-0.016111819163108505,-0.010170684982668123,0.045503889700363696,0.03152110161577545,0.48687988639845525,0.0713940320914025,-0.0014660967435419616,0.0626330218585603,0.08747109567040187,0.010250693223702005,-0.0042420078824155615,-0.007638093060133346,0.03429287535122841,0.02214771688896754,-0.002625590851808718,0.013881137813989392,0.0060908632981978555,0.04179079726412546,0.03633384688213136,0.03141037346798813,0.071845663689795,0.07478490651126299,0.07216505889502633,0.048603541145917556,0.007579647179564288,-0.019471707981928408,0.005521092154007715,0.003029449347235159,-0.002752325259395524,0.027070877027839155,0.005347055467896082,0.06143812379536894,0.013106735465796167
  Notes Receivable,-0.0166051764759293,-0.018535982082778745,0.07737648950312452,0.15141489758163998,0.018841649596068013,0.005566257756804217,0.0022755107406244816,0.010049488687160064,0.0804098989432723,0.14855184321862347,0.08518907289181549,0.004980290364507568,-0.01885826469171237,0.07838777763657565,0.10967455377816267,-0.013137454599782458,-0.026518705858360324,-0.026050629002696148,-0.0038355008580464715,-0.0317997002172061,0.0024959696631623447,0.06259712127267147,0.06949725085115353,0.013722844278745186,0.008935675692235516,0.011273634399641167,0.004345019800836514,0.0018674868166395973,0.030164394797416477,-0.019149911723359288,-0.01658565287248611,0.09588552646344943,0.11405894898576863,0.024532956520096252,0.035332640104078626,0.03001329419837189,0.002327059868938934,0.15131447009210816,0.004683668588624741,-0.024684139439094303,-0.016699185676827485,-0.040986973067675556,0.008312676683203344,-0.04540591841949541,0.0052537475245496654,0.04013382341679234,-0.03761602008816418,-0.043292985542963916,0.03621046323566843,0.03217622437590403,-0.006814208318380901,0.10931991492948756,0.05454791773333105,0.02533856590579758,0.12946283143246284,0.10328021151375455,0.12411577636286711,-0.005129055221588671,0.06999336845279647,0.005914739758932199,-0.009426327914923762
  Loans Receivable,-0.009431461040273528,-0.02549087699108793,0.11022814556579877,0.13972950534684747,0.017398934368541223,0.01216254095820433,0.01483292293707807,-0.04555006041482944,0.08112297613140415,0.13006554853128693,0.09387421122044463,-0.009853829196948704,-0.025209834407684546,0.07714428392267397,0.10910011926733945,-0.024088404574969628,-0.03714502307206093,-0.032174339413884284,-0.021852572450078253,-0.0029059114472435904,0.04722101618760217,0.03501904439874919,0.061516323952551875,0.007671622014345032,0.008935675692235516,0.0007621900991358695,-0.008133109709606746,-0.00017303344004619128,0.02706161286051303,-0.017978879642130335,-0.014898912564723497,0.10812060534310164,0.09290241402284484,0.08542354565354718,0.02692390564346494,0.024603851161476682,0.05615457523702004,0.1480719521933439,-0.00022202120999546826,-0.02607401003849157,-0.029185127254651357,-0.027132219071348634,0.011257078815969036,-0.03309074876967481,-0.032104563293114646,0.021364267724263294,0.04781843612120411,0.0278010683330271,0.054248822534300405,0.04564524503643971,0.02199459518020732,0.15606599235432952,0.06947887191917967,0.01695728375021992,0.20445599992708355,0.08721334986108804,0.1247212582552773,-0.014537600233969673,0.08147443166167107,0.01831280788030709,-6.638721668840555e-05
  Other Current Receivables,0.029467451036807528,0.010316088938200135,0.1785959831027447,0.202497190271249,0.08716713563280004,0.08216837811991472,0.03987956940104911,-0.0016376683806503404,0.08475846963519428,0.09835747813727727,0.17731726828726838,0.004717994379007377,0.008953464743586015,0.06648031536324606,0.09852904304578818,0.02607417811290593,-0.019474776662216878,-0.019571856501615248,0.005926783433458175,0.061883519111093487,-0.0016192133246239228,0.10116933835972833,0.111708281417758,0.013251832616203722,0.06761161059777136,0.006940635115658578,0.01812758666253704,0.01875671044019078,0.12379128591554292,-0.03270097509836314,0.050580970535613945,0.19489089434578633,0.1944686210044861,0.09195573997619991,0.10925236576712977,0.08959881098786854,0.006628180712918772,0.3056237653199914,-0.015954002476468478,-0.01956300667552249,-0.027832655861685852,-0.004037511264957442,0.01647347771071086,-0.012756957679716276,-0.006924990704864228,0.033942461604833246,-0.03186233575738885,-0.01984134802898441,0.029585531137526187,0.028349734490885403,-0.02557325308651421,0.12102818180018401,0.07067106750180648,0.016666215782865416,0.2813472589271534,0.17183801546950622,0.12899252295900246,-0.028049614884860477,0.15236107952218644,0.0688515489773369,0.042981729110316405
Total Receivables,-0.0029077524527696885,0.002512649484885248,0.03931761636072977,0.044509749013052685,0.04275275471115787,0.08947269511067601,0.031084314359910284,0.04811496082138938,-0.0066308050103727305,0.009958271349472494,-0.004183555019628525,0.009320924680843976,0.002532559652742342,0.0028113423621772713,-0.008389605228524624,0.1327984796705901,-0.009937809064792805,0.0003055261494011698,-0.0027829923073151887,0.05313813401196656,-0.030681311117974452,-0.0006250285422636122,0.008488880051153514,-0.03406468169012937,0.029176551547876874,-0.0382499839774545,-0.012889171104026428,-0.02464878578167516,0.0011319426723069865,-0.011519985579773597,0.033050571471730864,0.024371861768479164,0.02076701845889943,0.07988306766068291,0.007620135486946145,-0.003007561500281052,0.022663212246452947,0.025499345074639884,-0.002022516897969754,0.00340955041432014,0.039330506224954986,0.011688010782116995,0.009361213652508563,0.01731586363910442,-0.005733081708594889,0.029880693845455192,0.03274537230861635,0.027496519799878046,0.00576596339933639,-0.01547681092518917,-0.004467590893605904,0.008426235144056595,0.011092048204437537,-0.027666989504994577,0.025944531848479623,0.021558594839247772,-0.002064443472311855,0.028551573414052032,0.009057358787276782,0.07683658942628702,0.03619789274502365
"  Inventories, Raw Materials & Components",0.025562254294836398,0.025086029844608622,0.0007128798714049001,0.005458475883953257,0.015071029414619129,0.05521759010800903,0.1037936590817475,-0.005172280930163903,-0.0012068977684803394,-0.013927265701561296,0.0012173047744650223,0.023621094102027725,0.025086029844608622,0.021564627336918427,0.0040532735534565215,0.04491550674843529,0.018922924266777014,0.012031403935811626,0.025754955646473215,0.010124657522137759,-0.008375036470856835,0.03245542961034187,0.033095511389541164,0.019025079440787483,0.02934608826824263,0.023517802051138986,0.0586897511973124,0.03915334501016335,0.005157122677934115,0.0016250958678059096,0.11942545088356422,0.0012276837407175388,0.00166977735295812,0.021742347469450734,0.01913804167257586,0.025024748270508244,0.03239432230100737,0.025992005719481494,-0.019221422698578697,-0.02080001447460181,0.07710007273927015,0.05177533625983701,0.10591196308557654,0.0013969206820299588,0.05926883412524605,0.02248607344716801,0.02073235980406252,0.03250586561413864,0.05555734728727331,0.06162372321066481,0.005221158641040668,0.03487995431313216,-0.0030440785851790675,0.0237594609287688,0.037964940405611214,0.032691484879260935,-0.028500561968802754,0.03580987343161189,0.035652979926668264,-0.0044337372868918385,-0.008334766152053674
